label,TF_UNIGRAM,IDF_UNIGRAM,TFIDF_UNIGRAM
[],[],[],[]
"['abang', 'nggak', 'kenal', 'bimantara', 'humpuss', 'citra', 'lamtoro', 'gung', 'anak', 'jokowi', 'nggak', 'ujung', 'kuku', 'anak', 'soeharto', 'bang', 'jaga', 'bang', 'anak', 'keluarga', 'jokowi', 'seret', 'kkn', 'sila', 'kritik', '']","[0.0625, 0.1875, 0.125, 0.0625, 0.0625, 0.125, 0.0625, 0.0625, 0.0625, 0.125, 0.0625]","[7.1092475827643655, 4.912023005428146, 6.703782474656201, 6.41610040220442, 5.8564846142689975, 1.8362480242006185, 5.8564846142689975, 6.703782474656201, 7.1092475827643655, 5.8564846142689975, 6.703782474656201]","[0.44432797392277285, 0.9210043135177775, 0.8379728093320251, 0.40100627513777626, 0.36603028839181234, 0.2295310030250773, 0.36603028839181234, 0.41898640466601256, 0.44432797392277285, 0.7320605767836247, 0.41898640466601256]"
"['abunawas', 'laen', 'jokowi boong', 'g', 'merugika', 'rakyat', 'jelata']","[0.25, 0.25, 0.25, 0.25]","[6.703782474656201, 7.1092475827643655, 1.8362480242006185, 3.47166142303798]","[1.6759456186640502, 1.7773118956910914, 0.4590620060501546, 0.867915355759495]"
"['abunawas', 'pas']","[0.5, 0.5]","[6.703782474656201, 6.41610040220442]","[3.3518912373281005, 3.20805020110221]"
"['adil', 'pertanggungjawaban', 'buka']","[0.5, 0.5]","[5.237445405862774, 5.722953221644475]","[2.618722702931387, 2.8614766108222374]"
"['agama', 'ya']","[0.5, 0.5]","[5.722953221644475, 3.70805020110221]","[2.8614766108222374, 1.854025100551105]"
"['ahahaha', 'ntar', 'jokowi']","[0.5, 0.5]","[1.8362480242006185, 6.703782474656201]","[0.9181240121003093, 3.3518912373281005]"
"['ahk', 'kalo', 'kacau', 'menteri', 'ngobok', 'ngobok', 'sma', 'ajar', 'ajar', 'nalar', 'sma', 'nalar', 'yg', 'basmi', 'sifat', 'koruptif', 'selenggara', 'ptn', 'emang', 'kalo', 'nalar', 'ngga', 'laku', 'pasar', 'minta', 'situ', 'pasar', 'bos']","[0.09523809523809523, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.09523809523809523, 0.047619047619047616, 0.047619047619047616, 0.14285714285714285, 0.047619047619047616, 0.09523809523809523, 0.09523809523809523, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616]","[5.605170185988092, 6.41610040220442, 4.85795578415787, 7.1092475827643655, 4.58351893845611, 4.80666248977032, 4.435098933337837, 7.1092475827643655, 5.8564846142689975, 7.802394763324311, 6.19295685089021, 7.1092475827643655, 6.41610040220442, 6.41610040220442, 2.666596326274049]","[0.5338257319988658, 0.30552859058116283, 0.2313312278170414, 0.33853559917925546, 0.4365256131862962, 0.22888868998906284, 0.21119518730180176, 1.0156067975377665, 0.2788802197270951, 0.7430852155546962, 0.5898054143704962, 0.33853559917925546, 0.30552859058116283, 0.30552859058116283, 0.12698077744162137]"
"['aja', 'bohong', '', '', '']","[0.5, 0.5]","[3.8134107167600364, 5.8564846142689975]","[1.9067053583800182, 2.9282423071344987]"
"['aja', 'nyerahin', 'kredibilitas', 'joko', 'smi', 'cash', 'plan', 'jalan', 'klo', 'gak', 'tuju', 'joko', '']","[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.14285714285714285, 0.14285714285714285]","[3.8134107167600364, 4.064725145040942, 5.31748811353631, 6.0106352940962555, 4.912023005428146, 5.8564846142689975]","[0.544772959537148, 0.5806750207201345, 0.7596411590766157, 1.7173243697417873, 0.7017175722040209, 0.8366406591812853]"
