datetime,username,content
2023-01-15 12:54:42+00:00,FiersaBesari,"“Kita hanyalah manusia yang terluka. Terbiasa tuk pura-pura tertawa”
.
Layung kali ini di Sukabumi, bernyanyi bersama Feby Putri. Terima kasih kehangatannya, Kawan-kawan ❤️ https://t.co/QUYQt6OlE4"
2023-01-14 16:45:16+00:00,FiersaBesari,"@cloudbreadxxs Lho, kan memang abg-abg"
2023-01-14 16:44:45+00:00,FiersaBesari,"@bersemestalah Udah, di sini aja. Setidaknya udah ada centang birunya"
2023-01-14 15:36:31+00:00,FiersaBesari,"“Aku sadar siapa diriku, yang tidak mungkin menggapaimu. Kau terlalu indah, untuk jadi kenyataan. Namun bila ada sedikit ruang hati tuk kusinggahi, takkan pernah kusakiti”
.
Terima kasih, Jogja. Selalu seru ❤️ https://t.co/QJpgOiUiWE"
2023-01-14 08:46:23+00:00,FiersaBesari,Aku dan hobiku menyukai hal-hal yang tidak mungkin kumiliki
2023-01-14 05:25:11+00:00,FiersaBesari,"Aku iri aku bilang. Saking irinya, kalau ada pembangkit listrik tenaga iri, udah bisa menerangi satu kabupaten"
2023-01-14 05:21:09+00:00,FiersaBesari,@omdirects_ Sekate-kate lu Gas https://t.co/8MykC2kiBh
2023-01-14 02:13:53+00:00,FiersaBesari,@abuyy69 Kapal naon?
2023-01-14 02:10:36+00:00,FiersaBesari,"Nangis karena nonton drakor ❌
Nangis karena renungan malam ❌
Nangis karena dengar lagu sedih ❌
Nangis karena lihat flashback tokoh-tokoh Naruto ✅"
2023-01-13 23:08:43+00:00,FiersaBesari,@IsteriSultan @adilaart Yang mandi lumpur itu bukan?
2023-01-13 23:03:12+00:00,FiersaBesari,@TriatmajaY Ya tapi platform lainnya ke-tiktok-tiktok-an
2023-01-13 22:59:16+00:00,FiersaBesari,"Beberapa tahun lalu, “Apaan sih main tiktok? Alay banget.” Hari ini: Instagram bikin Reels, Youtube bikin Short, Twitter pakai sistem fyp, dan kamu terus-terusan scroll Tiktok tiap gabut. Wkwk. Ternyata memang benar, kalau menilai sesuatu jangan terburu-buru"
2023-01-13 15:24:20+00:00,FiersaBesari,"Udah menguatkan hati supaya enggak membalas kalau kamu nyapa. Eh, jempolku auto-pilot ngetik sendiri"
2023-01-12 13:53:56+00:00,FiersaBesari,"“Hingga kemudian hari ku mengerti, Tuhan tidak mau kita hancur berantakan, makanya dipisahkan di persimpangan jalan”

Sudah lama tidak membuat video sajak. Selamat menonton dan patah hati bersama
.
https://t.co/3pGtWHL5C3"
2023-01-12 03:13:03+00:00,FiersaBesari,"Terlalu banyak kerjaan, terlalu sedikit waktu. Sudah begitu ditambah malas-malasan. Siapa lagi kalau bukan aku?"
2023-01-12 01:10:25+00:00,FiersaBesari,@ngabanguss Puguhan ieu lodoms keneh
2023-01-12 01:07:40+00:00,FiersaBesari,"Standar kaya raya tiap orang berbeda. Kalau memang mampunya cuma segini, dan merasa bahagia dengan pencapaian ini, kamu enggak julid juga enggak akan mati, kan? 😊"
2023-01-09 22:56:01+00:00,FiersaBesari,@cendol_ambyar Akun kepanjangannya Akunto Aji
2023-01-09 22:55:48+00:00,FiersaBesari,@Iyaakuhhhhh Rumah makan juga
2023-01-09 22:55:38+00:00,FiersaBesari,@Androngehe Tercatat
2023-01-09 22:47:23+00:00,FiersaBesari,@aftluihm Nyiram jalanan pakai air got 🥲
2023-01-09 22:44:17+00:00,FiersaBesari,Aku ingin jadi biasa saja https://t.co/cdM4dvtlvS
2023-01-09 22:06:06+00:00,FiersaBesari,Berdoa lagi supaya pundak ini lebih dikuatkan. Karena ternyata bebannya masih terlalu berat
2023-01-09 09:14:22+00:00,FiersaBesari,"Dulur dan Kawan Yogyakarta, sampai ketemu di Closing Ceremony Farmasi Festival 2022
.
14 Januari 2023
Sportorium UMY
.
Tiket: https://t.co/3mEsKbiLih
.
☎️ : 083174429444 (Mutiara)
☎️ : 0895364902646 (Sarasevita) https://t.co/VsonjytjyY"
2023-01-09 07:33:23+00:00,FiersaBesari,"Dulur dan Kawan Sukabumi, sampai ketemu di INFOSMI Fest 2022
.
15 Januari 2023
Lapang Manunggal Kodim 0607
.
Info: https://t.co/xZFvw4C1zf https://t.co/WFjO4iNmuA"
2023-01-09 04:51:36+00:00,FiersaBesari,@dwikimic Kamu orang atau Sumedang? Kok banyak tahunya?
2023-01-09 04:49:40+00:00,FiersaBesari,"Semakin tahu, semakin enggak mau tahu. Karena bikin sakit tiap nyari https://t.co/aPzLqMzWzU"
2023-01-08 23:46:30+00:00,FiersaBesari,"@bdngfess Ieu lampu bereum bakating ku lila, pas hejo One Piece geus tamat"
2023-01-08 23:33:57+00:00,FiersaBesari,"“Nanti nyesel lho”
.
Ya kan nanti. Nanti gimana nanti. Sekarang ya sekarang"
2023-01-08 14:49:16+00:00,FiersaBesari,"Kadang kepikiran, kok kita bisa kayak begini, ya? Jauh. Perasaan, dulu kita bercita-cita menua bersama"
2023-01-08 11:35:01+00:00,FiersaBesari,Jangan melibatkan perasaan. Jangan melibatkan perasaan. Jangan melibatkan perasaan. Jangan melibatkan perasaan. Jangan melibatkan perasaan. Jangan melibatkan perasaan. Jangan melibatkan Jangan melibatkan perasaan. Jangan melibatkan perasaan. Ah elah … kan
2023-01-08 00:53:01+00:00,FiersaBesari,@mohakbar_ Wuaduh
2023-01-07 23:48:55+00:00,FiersaBesari,"@emmiiilllll Bole, bole"
2023-01-07 23:41:39+00:00,FiersaBesari,"“Cicak-cicak di dinding, diam-diam merana”
— Kinasih, 2023 https://t.co/7e3Vpe232v"
2023-01-07 22:26:28+00:00,FiersaBesari,"Apa hobi kita? Ya, benar. Sudah pusing banyak masalah, malah ditambah-tambahin pakai kurang tidur"
2023-01-07 14:34:51+00:00,FiersaBesari,Dahlah https://t.co/yHVz2QBEg4
2023-01-07 13:38:32+00:00,FiersaBesari,"Selamat atas pencapaianmu. Turut bangga. Doaku dari sini. Cuma sebatas doa. Tapi bagimu cukup, kan ❤️"
