datetime;username;content;id;sentiment;annotator;annotation_id;created_at;updated_at;lead_time
30/10/2022 16:00;convomfs;💭 mending beli banyak buku tapi belum punya rak buku atau beli rak buku tapi buku nya dikit?;7995;C;1;7996;01/11/2022 15:34;01/11/2022 15:34;19517
30/10/2022 16:20;convomfs;"💭 antara dua ini mana yang cocok ditonton berdua sama pacar?

atau ada saran movie yang agak romance, manis tapi ga too much terus lucu gituu? makasiii https://t.co/ltnfOMZ1PV";7985;C;1;7986;01/11/2022 15:33;01/11/2022 15:33;7027
30/10/2022 16:40;convomfs;saran kado ultah buat ayah dong. benda atau makanan boleh, tapi jangan yang manis2. tia! 🤍;7976;C;1;7977;01/11/2022 15:32;01/11/2022 15:32;7628
30/10/2022 17:50;convomfs;"🤍
BANTU PILIHIN DONG!
Mending ngecat kamar atau pasang wallpaper? dilihat dari segi budget dan keriwehan. thank u";7939;C;1;7940;01/11/2022 15:29;01/11/2022 15:29;755
30/10/2022 17:55;convomfs;🤍 nanya dong. kalian kalo lagi ngetweet di rant nyambat gitu, suka ada mutual yang reply dibales ga? trus kalo dia ngereply kamu bales sejujurnya atau kaya “gapapa”? aku bingung soalnya:) aku ga berharap sambatanku di reply sama moots. tapi ga enak juga kalo ga dibales:);7935;C;1;7936;01/11/2022 15:29;01/11/2022 15:29;12925
30/10/2022 19:30;convomfs;gak garam ya mau nanya aku liat di yt pl prem mereka itu sekitar 59rb an tapi kok di luaran bisa jadi 20rb an kebawah gitu yaa?? itu aman ga yaa? tia 💭;7914;C;1;7915;01/11/2022 15:27;01/11/2022 15:27;6325
30/10/2022 23:10;convomfs;🤍 guys mending CO skinker skg karna payday apa tunggu 11.11 ya? Diskonnya bnyk mana guys 😉;7795;C;1;7796;01/11/2022 15:01;01/11/2022 15:01;5565
30/10/2022 23:35;convomfs;🤍 Kalau ada kuis terus ada kesempatan 3 kalii nah kira2 yang diambil nilai paling tinggi atau dibagi rata yaa, sender mo ngulang cuma gatau salahnya dimana takutnya diulang malah nambah kecil😔;7784;C;1;7785;01/11/2022 15:00;01/11/2022 15:00;867
31/10/2022 00:45;convomfs;"💭 ngecrushin org krnh formalitas nggk ap ap kan? Takut tmn² sender mikirnya sender cmn suka cwo fiksi ama cwo kpop doang pdhl mah iyaa :)

t i t i p a n";7755;C;1;7756;01/11/2022 14:54;01/11/2022 14:54;12275
31/10/2022 00:50;convomfs;💭 aku baru mau beralih ke korean skincare, menurut kalian mending nyoba set cosrx atau axis-y? thank u https://t.co/QR8u7Aa1Vx;7753;C;1;7754;01/11/2022 14:54;01/11/2022 14:54;9959
31/10/2022 04:48;convomfs;💭 charger kalau dipake bareng-bareng jadi rusak ga sih? di rumah semua hp pake chargeran aku soalnya, mau blg ga boleh disangkanya pelit ntar:( serba salah;7713;C;1;7714;01/11/2022 14:48;01/11/2022 14:48;10302
