datetime,username,content
2022-12-14 11:44:38+00:00,Jokoriri,"@txtdarisisange katanya hukum seberat beratnya pelaku pelecehan seksual, giliran pelaku diamuk masa ikutan ga setuju malah terkesan belain si pelaku. aneh dah emang goblok tolol"
2022-12-14 11:44:35+00:00,AnandaAlxBahari,@cakimiNOW Setuju 👍
2022-12-14 11:44:27+00:00,Sholida86,@cakimiNOW Setuju Gus..
2022-12-14 11:44:25+00:00,indomiewithegg,"maunya jgk gitu, uda bilang ke mamah and belio setuju, cumaa ini belum ada jodohnyaaa aja sih https://t.co/F3PsNdcTlA"
2022-12-14 11:44:20+00:00,martien86,"@_ekopri @HukumDan Saya setuju dgn poin 1,,, ngebayanginnya aja udah merinding, biar pun mereka sudah dilatih berperang dgn senjata api, mereka tetap manusia yg memiliki rasa takut sama kematian,,,

Jangan disamain main free fire atau pubg, apalagi sama counter attack.."
2022-12-14 11:44:15+00:00,dependablue,@miuwestwood @disenchatot setuju
2022-12-14 11:44:15+00:00,HeriBoki,@Muhammad_Saewad Setuju
2022-12-14 11:44:07+00:00,assalamm_,"@alexasaffira nah ini setuju nih, aylopyu"
2022-12-14 11:43:57+00:00,Sunghoom,@RainsleyNoir @selfolconvo setuju.
2022-12-14 11:43:54+00:00,ude_moch,@cakimiNOW Setuju gus
2022-12-14 11:43:53+00:00,drsweetpromises,"Aku curhat ttg crush ke emak, emakku sgt setuju

Masalahnya orgnya mau g😔"
2022-12-14 11:43:47+00:00,RestiIn56517227,@cakimiNOW Setuju
2022-12-14 11:43:40+00:00,nindyaafzz,@cakimiNOW setuju gus muhaimin
2022-12-14 11:43:40+00:00,sunhaechanies,@obibolaubi @day6confess duh bener ternyata dan iya setuju banget karena beneran SEJARANG itu nemu au yg ambil sudut pandang dari masyarakat menengah ke bawah kyk di cerita itu :')
2022-12-14 11:43:39+00:00,KawuloTentrem,@cakimiNOW setuju Gus
2022-12-14 11:43:38+00:00,KomunitasBloger,"@FionazIsza Sangat setuju sekali kak, bikin hati jadi tenang."
2022-12-14 11:43:38+00:00,pjiminx_x,"@barteinder @bloodxred_ @accoustiic @folksday @uunamee_ Setuju, Arthur yang memulai peperangan"
2022-12-14 11:43:31+00:00,jbbyko0,@anugroho0211 @jambumanis19 @_sweetangxl @jevanadi Setuju !!!
2022-12-14 11:43:13+00:00,Kull_Maestro,@The_Mamu Setuju mamu..benda baik kena sokong...puak puak tiktok insta kira nak ambik gmbaq ja..bkn nak menikmati makanan tu ..he he..
2022-12-14 11:43:12+00:00,DunlopTyresID,"Cowok kalau udah nangis begini tandanya sayang banget 🥹👌

Iya, sesayang itu sama ban SP Sport LM705 sih, soalnya bikin nyaman dan senyap buat diajak #UnlimitedJourney kemanapun.

Setuju kan, Drivemate?

#LM705 #ExperienceWithDUNLOP #Dunlop #DunlopIndonesia #UnlimitedJourney https://t.co/3nYYAzbpE0"
2022-12-14 11:43:06+00:00,yynkaaayu,@ashccle @ohmybeautybank Setuju bgt tapi kalo ada gatel² langsung berkurang kalo di aku
2022-12-14 11:42:53+00:00,hendrama15,"@kompascom Iya setuju, karena tidak jelas membuat asumsi liar...
Asumsi liar gw : investasi bwt 2024, podcastny bisa dijadiin corong"
2022-12-14 11:42:48+00:00,Bintang9_Gunung,"@cakimiNOW Setuju... Semua harus terbuka, dan gak boleh anti kritik. Kritik jg harus konstruktif, bersifat membangun, tidak destruktif"
2022-12-14 11:42:47+00:00,Dery_elfikri,@cakimiNOW Setuju Gus @cakimiNOW
2022-12-14 11:42:46+00:00,Bheesma4,"@AkuAtikaFaya Gw setuju bong, krn setelah datang quran, kedunguan berubah menjadi akal sehat, cebong mana ngerti😂"
2022-12-14 11:42:45+00:00,kameliajyha,@dreamonnisha @itskameliahq setuju!!!
2022-12-14 11:42:43+00:00,beauthitipoom,"@doyanseblak Aku setuju diganti si ca, jujur salah ketik mulu setiap mau rekomen ke temen 😭"
2022-12-14 11:42:32+00:00,lacibolalanim,"@jenojaes gue ada vt buat lo, sorry banget gue ngetawain ini ada kali 5 menit , critanya bapaknya ga setuju krn jn cm jualan pop ice 😞 https://t.co/lq6NRN4fd5"
2022-12-14 11:42:31+00:00,UmmulKh89756877,@cakimiNOW Setuju Gus
2022-12-14 11:42:30+00:00,FnKy76629701,@kitiksoftpaws @myjoe_ Setuju😅orang asing kalau kilang tak ada elaun just gaji basic je ke apa diaorg sanggup lari cari kilang lain tau😅
2022-12-14 11:42:25+00:00,redcheekpuberty,@sernperfidelis SEMUA SETUJU
2022-12-14 11:42:22+00:00,mohdfad84,@cakimiNOW Setuju Gus @cakimiNOW
2022-12-14 11:42:21+00:00,ha_rasyied,"Setuju, harus digebukkin juga... https://t.co/l7BvFUJHBa"
2022-12-14 11:42:20+00:00,nidahannaa,@risty_shin @Jungkookskies95 Iyaaa setuju
2022-12-14 11:42:20+00:00,sibayan60,"@Syarman59 @KPK_RI @jokowi @DPR_RI Setuju @KPK_RI dibubarkan saja pak presiden @jokowi, krn sdh tdk punya taring alias OMPONG."
2022-12-14 11:42:18+00:00,psyducknM1234,@demangwayne setuju
2022-12-14 11:42:07+00:00,drmhtrskekkeong,"influenced by jane yg dia bilang makeup sendiri pas nikahan jess-sisca krn pen pake mua pas nikahan dia aja biar pangling. w jadi setuju wisuda besok makeup sendiri aja dah, mua nya pas nikahan aee"
2022-12-14 11:42:07+00:00,AMitrayuda8,@cakimiNOW Sangat setuju Gus muhaimin kritikan untuk membangun
2022-12-14 11:42:04+00:00,MarhamahIda,@cakimiNOW Setuju
2022-12-14 11:42:01+00:00,Bar0q,Setuju Ketum AHY  #AHYPimpinPerubahan
2022-12-14 11:42:00+00:00,puptr14_,@saaalajadeh Yess setuju
2022-12-14 11:41:58+00:00,Great_Heldi,@pandji Setuju
2022-12-14 11:41:57+00:00,crimesonclover,@Incatantem sy setuju min
2022-12-14 11:41:30+00:00,nolukestahp,"Setuju, kami benar-benar terbantu sekali  Mantap, kami bangga  https://t.co/s6XuZ7srgU #GanjarHebat"
