datetime,username,content
2022-10-11 05:35:43+00:00,nazzaea,@Askrlfess Ngeselin banget mukanya
2022-10-11 05:35:40+00:00,najaeminpunya,"@Askrlfess daun salam, daun jeruk, sereh, kunyit, lengkuas sama jahe?"
2022-10-11 05:35:40+00:00,kik0scnd,"@Askrlfess dr paling atas kiri ke kanan:
kencur
kuning
temu kunci
itu dua dua nya lengkuas
dau item salam
daun hijau jeruk
yg panjang sereh"
2022-10-11 05:35:38+00:00,aimsiriusstar,@Askrlfess Atase kunir nek ngga jahe ya temulawak kayake
2022-10-11 05:35:37+00:00,ryananananan,@tasyasyif @vee___aa @Askrlfess Dunury. apaann
2022-10-11 05:35:33+00:00,nicorobisn,@Askrlfess Madame gie butterscotch.
2022-10-11 05:35:33+00:00,emangmaniss,"@Askrlfess keknya kencur, kunyit, kunci, lengkuas, sere, salam, daun jeruk"
2022-10-11 05:35:32+00:00,widodarimu,@Askrlfess yahahahaah 😭😭😭
2022-10-11 05:35:31+00:00,kalokataw,"@Askrlfess Pernah gue begini… bukan pernah, selama ini gue begini, pas sama mantan2 pun gue yg nyupir atau ketemu di tengh2 juga oke. Sampe  akhirnya punya laki yg bisa bikin gue super duper mega manja. Turun mobil aja kalo bisa digendong tolong gendong deh. Tapi ldr, kan jan-"
2022-10-11 05:35:31+00:00,sabitarius,@Askrlfess ntar klo bund*r jg sm aja lu kesiksa di sana
2022-10-11 05:35:30+00:00,spvrave,"@Askrlfess Gue mandang pacaran cuma sebagai sarana pelampiasan emosi manusia yang di namanya entah perasaan cinta. Sedangkan gue gak butuh pelampiasan ke media itu, gue lebih melampiaskannya ke cowok anime. Mana gak bikin sakit hati, beban pikiran, selingkuh, dan berbagai konsekuensi"
2022-10-11 05:35:25+00:00,i_am_1014,"@Askrlfess Nggak. Tergantung dr masalahnya apa, klo kamu ada bikin masalah, trus kamu kabur dan ngeblok orang itu. Baru kamu kalah."
2022-10-11 05:35:25+00:00,xyzmsa,@Askrlfess Iya 😂😂
2022-10-11 05:35:24+00:00,pastiguelah,"@Askrlfess daun jeruk dibawah,yg item daun salam,samping salam lengkuas (laos),atasnya kencur,sebelahnya kunyit,yg panjang putih sereh,jahe"
2022-10-11 05:35:22+00:00,shdfkep,@Askrlfess https://t.co/3ggyETShK6
2022-10-11 05:35:22+00:00,nonajahee,@Askrlfess Gue dielus kepala aja langsung salting anj 😭
2022-10-11 05:35:21+00:00,nojeecityx,@Askrlfess Membunuh perlahan itu namanya nder
2022-10-11 05:35:20+00:00,nongngode,@Askrlfess SENDERR SINI KAMU AKU TAMPAR BIAR SADAR. TINGGALIN NDERR TINGGALIN😭😭
2022-10-11 05:35:19+00:00,nanasaurusss,@tuyulmbakyull @Askrlfess mines berapa
2022-10-11 05:35:12+00:00,Askrlfess,"[askrl] gais, hp aku smsunk. ini screen aku kek ga smooth gt, kek agak ngefreeze kl ngescroll, diapain ya, kalo disetting di mananya ya? makasii"
2022-10-11 05:35:12+00:00,nyabangrhoma,"@Askrlfess Sender, mau cerita sama aku? Hayuu"
2022-10-11 05:35:11+00:00,Askrlfess,[Askrl] apa nasihat mamah yg paling km inget?
2022-10-11 05:35:10+00:00,neoctournecs,"@Askrlfess Dih ? Terus secara ga langsung lu nampilin ""murah"" lu dengan bangga di balik kata ""banyak cowo yg deketin gua"" wkwkwkk"
2022-10-11 05:35:09+00:00,seutikeoimnida,@Askrlfess Anjir
2022-10-11 05:35:09+00:00,rrsstuvwxyz,@Askrlfess diem
2022-10-11 05:35:08+00:00,UzumakiHimaHime,"@Askrlfess Orang begini berhak di ghosting. Liat deh nanti 1-2 minggu kau ghosting, bukan nanya kabar, malah nanya duit.. 
Jangan berharap bisa mengubah kebiasaan buruk hanya dengan ""cinta"". Udah banyak contoh gagalnya, gausah nambah2in.."
2022-10-11 05:35:07+00:00,diffindoe,@Askrlfess https://t.co/o65TKDDPdp
2022-10-11 05:35:04+00:00,TripleNNN3_,"@Askrlfess Sukune

Sukune sopoooo? Suku opo? Suku jawaaaaaa"
2022-10-11 05:35:03+00:00,mahasiswi_kupu2,"@Askrlfess W lg naek motor aja sempet2nya kepikiran ""kl ak jatohin diri kek di disinetron sakit ga ya?"""
2022-10-11 05:35:01+00:00,youurcutegirlll,"@Askrlfess nderrr aku tau hidup ini memang se mengerikan ituu, tapi pliss bertahan yaa. kamu udah kuat banget bisa ngelewatin ini semuaa, percaya deh bakal ada kejutan didepan yg lagi nunggu kamu.
Harus semangat, kamu berharga nder!!!!"
2022-10-11 05:34:59+00:00,tuyulmbakyull,@nanasaurusss @Askrlfess iya syg kn ak kcamataan
2022-10-11 05:34:54+00:00,yupyyya,"@Askrlfess Adek gw si suka ngajak ribut, bukan pacar🙂 https://t.co/TsVC6dPBMT"
2022-10-11 05:34:50+00:00,myeonderfull,"@Askrlfess Sama nder, mana tagihan gua banyak banget astagfirullah
Nganggur lg wkwk"
2022-10-11 05:34:48+00:00,Konekoris,"@Askrlfess and not all of them actually think the way the anonym is thinking (mungkin beberapa w akuin ada makanya berantem mulu ama gue)

urusan hati kok dipaksa? itu aja

""tp doi ganteng perfect"" ya kalau ada yang ""hati berbicara laim"" masa mau dipaksa??

gitu sok koar2 ""jangan paksa hati"
2022-10-11 05:34:44+00:00,busanx07,@lovaynne @Askrlfess Suka main judi kali kak?
2022-10-11 05:34:43+00:00,ynt_______,@Askrlfess Ngga ada
2022-10-11 05:34:43+00:00,bukanrennn,@imutchap2 @Askrlfess malang nama planet kack bukan di pluto lagi
2022-10-11 05:34:41+00:00,nojeecityx,"@Askrlfess Aman nder, resiko nya kecil"
2022-10-11 05:34:35+00:00,tuyulmbakyull,@Askrlfess https://t.co/PmNUQuVurN
2022-10-11 05:34:32+00:00,eatchimkin,@Askrlfess https://t.co/9jnBs6LPhK
2022-10-11 05:34:30+00:00,pozzlepiece,"@Askrlfess kencur, kunyit,lengkuas, sereh, daun salam, daun jeruk"
2022-10-11 05:34:29+00:00,nanasaurusss,@tuyulmbakyull @Askrlfess km mines?
2022-10-11 05:34:28+00:00,crrylqmznr,@Askrlfess review skincare sendiri juga🤣🤣
2022-10-11 05:34:26+00:00,keleIawar,@Askrlfess Dikokop
2022-10-11 05:34:16+00:00,svnnalofs,@Askrlfess tergantung mood
2022-10-11 05:34:14+00:00,naskyeri,@Askrlfess murahh kacamata aing jg 300rb an 😔
2022-10-11 05:34:11+00:00,brushbluson,@Askrlfess idieeehhh si njs
2022-10-11 05:34:10+00:00,nyabangrhoma,"@Askrlfess Jangan halu, tapi gimana ya infp atau enfp kebanyakan halu soalnya (aku infp)"
2022-10-11 05:34:03+00:00,giminietae,@Askrlfess merinding bacanya
2022-10-11 05:34:00+00:00,xanaxixi,"@Askrlfess Caesar, my mom"
2022-10-11 05:33:55+00:00,al_2331,@Askrlfess Berpikir objektif dan rasional
2022-10-11 05:33:54+00:00,busanx07,"@Askrlfess Andai aku org dkt nder, udh aku palu dengkul pcr mu"
2022-10-11 05:33:52+00:00,jacksherrow_,@Askrlfess KASIH TRIGGER WARNING SUSAH KAH?
2022-10-11 05:33:52+00:00,helloshe_a,@Askrlfess worth nder tp di rmhku ga bs pake tri wkwk ga ada jaringannya 😭
2022-10-11 05:33:50+00:00,OizXRose,@jisoodam_ @Askrlfess Meme baru
2022-10-11 05:33:49+00:00,txtdarisipale,"@Askrlfess Ya kalo susah gaperlu berusaha buat percaya ke orang lah, fokus aja sama diri sendiri, sebuah seni untuk bersikap bodo amat👍"
2022-10-11 05:33:47+00:00,txtdariajeng,"@Askrlfess Tetep 10. Mau sebanyak apapun temennya kalo orangnya tau diri ga akan bikin makan hati, kalo friendlynya gatau diri dan gatau batasan sih ya gimana ya hehehehe"
2022-10-11 05:33:45+00:00,yourcherrypies,@Askrlfess Implora lipcream shade brown sugar nomor 12
2022-10-11 05:33:45+00:00,hawmccartney,"@Si_B0Lang @Askrlfess kunir = kunyit
laos = lengkuas"
2022-10-11 05:33:39+00:00,cravinforsedaap,@Askrlfess aman pasar uang mah resiko kicik
2022-10-11 05:33:35+00:00,capayacapayoo,"@Askrlfess kunyit, kencur, jahe, lengkuas, daun salam, daun jeruk sama sereh"
2022-10-11 05:33:35+00:00,voxovoxo_,"@Askrlfess Heee lu pada salty tau konsep videonya ga njir
 tuh org sbnrnya lagi nanya alamat wkwkw"
2022-10-11 05:33:34+00:00,akuzuyy,@Askrlfess Hmm ngantukk
2022-10-11 05:33:34+00:00,fa1rydimples,@Askrlfess murah
2022-10-11 05:33:30+00:00,noordwesee,@MeutiaAkbar @Askrlfess serah u mba
2022-10-11 05:33:26+00:00,cravingformoans,@pidijahatt @Askrlfess ooo ga kaya sereh😭 biasanya kan ada ijo2 nya gituu
2022-10-11 05:33:25+00:00,spvrave,"@Askrlfess Gue ini mau nginjak 20 tahun ini, belum pernah dan gak akan mau pacaran. Kenapa? Pacaran gak ada di list gue yang di mana fokus dan prinsip hidup gue buat ngejar karier dan pendidikan. Pacaran gak ada buat orang tua bangga atau bikin manfaat ke diri sendiri."
2022-10-11 05:33:23+00:00,itaewonclass97_,"@Askrlfess Kalo deket aku samperin nder 
Sini berkeluh kesah sama aku aku siap dengerin
Jgn ngerasa sendiri ya
Kita bakalan dukung kamu wlpn baru kenal dr sini"
2022-10-11 05:33:20+00:00,kinderrjoyx,"@Askrlfess nderrr jan gitu, sender dom mana?"
2022-10-11 05:33:18+00:00,Konekoris,"@Askrlfess Temen gue laki2 semua tbh and I probably date twice (currently on the third relationship)

it just feels like
ada yang nyaman cmn sebagai temen, ada yang emang nyaman kalau dibawa jauh hubungannya

its a matter of heart click or no click too. I dislike the idea ""trial and error"""
2022-10-11 05:33:18+00:00,raijaaak,@Askrlfess pasar uang aman ajasi
2022-10-11 05:33:17+00:00,uarmylights,@snowsugary_ @Askrlfess WAKAKAKAKKAKAKA KEBAYANG RASANYA KEK APA
2022-10-11 05:33:15+00:00,fa1rydimples,@Askrlfess worth bgt
2022-10-11 05:33:13+00:00,_serendipiityy,@Askrlfess untung pacarku gapernah ngomong gini😔 dia sadar cwenya ini nolep
2022-10-11 05:33:11+00:00,abcderirura,"@Askrlfess cuma tau lengkuas, jahe, daun jeruk, sereh"
2022-10-11 05:33:08+00:00,gaxpapa,"@Askrlfess Ayoooo ketuk dm aku, aku ingin denger semua tentang kamu, ayo ketuk dm aku yaaa"
2022-10-11 05:33:07+00:00,RGPTHEA,@Askrlfess sky diving
2022-10-11 05:33:05+00:00,bangsat__t,@Askrlfess kabupaten bg
2022-10-11 05:33:01+00:00,TemenPatric,"@Askrlfess Hai nder, kuy bahagia. Sini cerita bareng aku, mau cwo mau cwe kita bisa nyelesaikan masalah kita"
2022-10-11 05:33:00+00:00,littlelvnder,"@Askrlfess Nder kamu dimana??
Kalo kamu butuh temen yang mau nemenij kamu, i'm here for you!!"
2022-10-11 05:32:59+00:00,alilyassa,@Askrlfess Rempah-rempah
2022-10-11 05:32:54+00:00,ryeonseunggg,"@Askrlfess Bestie, itulah fungsinya ada bungee jumping. Nyobain jatuh tapi ngga mati 👌🏻 segera ke venue bungee jumping terdekat"
