datetime,username,content
2023-01-19 03:00:01+00:00,convomf,💙 halo aku mau nanyaa. kemarin mama nemuin anak uler di dalem mesin cuci lantai 2. menurut kalian itu kira-kira ada induknya gak ya disekitar tempat tinggalku?
2023-01-19 02:00:11+00:00,convomf,💙 halo ada yang punya / nyimpen link mf tentang n*rma r*zi itu ga ya? soalnya mau aku buat referensi mini proposal penelitian aku😁 makasih🫶
2023-01-19 00:26:26+00:00,convomf,"halo temen-temen yg jurusan dkv, anak seni rupa atau yg jago lukis. ada yg lagi senggang dan bisa kuajak brainstorming tentang tugasku nggak ya? aku mentok banget dan butuh masukan, makasi banyak 💙"
2023-01-18 16:15:07+00:00,convomf,"💭 Halo ada yang bisa bantu sender ngerjain tugas mtk kelas 1 SMA? Urgent, terima kasih🙇‍♂️..🙏🏻"
2023-01-18 14:15:09+00:00,convomf,"💙 halo pejuang snbt 2023! disini aku mau hibahin akun sharing zeniusku yg aktif sampe juli 2023. untuk fasilitasnya aku cantumin dibawah ya, yg mau rep aja nanti aku pilih 1 orang (ini buat orang yang bener2 butuh bgt buat persiapan snbt). terimakasih 🙏🏻 https://t.co/kMNaYtEo1Z"
2023-01-18 13:10:07+00:00,convomf,"💭 halo aku mau nanya, jadi aku baru bikin kartu debit di line bank dan aku belum punya kartu debit lainnya, kalau mau bikin kartu fisik line bank emang harus ada kartu debit lainnya? kalau gak ada apa masih bisa bikin kartu fisik line bank? terimakasih sebelumnya"
2023-01-18 12:25:11+00:00,convomf,"halo temen-temen yg jurusan dkv, anak seni rupa atau yg jago lukis. ada yg lagi senggang dan bisa kuajak brainstorming tentang tugasku nggak ya? aku mentok banget dan butuh masukan, makasi banyak 💙"
2023-01-18 04:52:39+00:00,convomf,💙 halo ada yg punya aplikasi remini yg versi bisa login email ngga yaa? makasih 🫶🏻
2023-01-18 03:19:56+00:00,convomf,"💙 halo sender mau cerita, jd tdi sender habis cek akun ltmpt tahun kemarin dan ternyata sekolah sender ga masuk top 1000 😔 alumni yang di universitas yg sender mau juga ga ada kayaknya, sendir masih ada 1 tahun lagi sih, cuman bingung bgt harus apa… mohon bantuan nya 💙"
2023-01-17 16:36:31+00:00,convomf,"💙 halo buat temen temen ada yang tau ga kost yang masi kosong sekitaran uny  yang bisa jalan kaki ke kampus,terus udah isian.budget 500-550k.kalo ada yg tau kabarin ya gais,send no wa yang bisa dihubungi.pliss sender butuh buat bulan feb huhu"
2023-01-17 15:15:05+00:00,convomf,💭 halo.. semua... ni ada t ti pan.. mksie.. 🙏🏻 https://t.co/S7WKDLDOIt
2023-01-17 10:48:42+00:00,convomf,"💙 skincare / make up.

 halo warga convo, minta sarannya dong ! https://t.co/qosHecE4sZ"
2023-01-17 08:50:08+00:00,convomf,"💙 halo boleh tolong bantu like postingan tugas aku? nanti aku dm, thank you 💖"
2023-01-17 08:25:06+00:00,convomf,"💙 halo guys yg nonton twilight mau nanya dong, ini jalan ceritanya kesambung semua ya? baru mau nonton soalnya hehe https://t.co/cJsPBdAbo4"
2023-01-17 06:50:18+00:00,convomf,"💙 halo guys mau nanya. bisa ga sih reply2, atau bekas following yang udah diapus bisa diliat lagi? kaya kita download data twitter kita nanti ketauan pernah follow siapa sebelumnya atau pernah komen2"
2023-01-17 00:36:18+00:00,convomf,"https://t.co/zJXAC89HOM

💙 halo aku sendernya. kemaren aku coba buat ngga tidur siang dan malemnya aku tidur di bawah jam 12🥹 https://t.co/keo752xTTe"
2023-01-16 18:49:34+00:00,convomf,💙 halo ada yang kuliah di UT ngga ya? Mau tanya-tanya soalnya minat mau daftar T_T terima kasih!
2023-01-16 18:27:42+00:00,convomf,"💭 halo mau nanya, akukan ngumpulin tugas video di ig pake hastag, tapi videoku gak muncul di hastagnya video temanku yang lain ada. itu kira kira kenapa ya? padahal akunku gak privat dan bener hastgnya. makasihh"
2023-01-16 15:15:02+00:00,convomf,"halo… aku boleh minta semangatnya ngga ya? ehehehe, kali ini aku beneran ngerasa lagi di titik terendah hidup aku hhahaha, thank you so much guys 💭"
