label,tweet
[],
"['abang', 'nggak', 'kenal', 'bimantara', 'humpuss', 'citra', 'lamtoro', 'gung', 'anak', 'jokowi', 'nggak', 'ujung', 'kuku', 'anak', 'soeharto', 'bang', 'jaga', 'bang', 'anak', 'keluarga', 'jokowi', 'seret', 'kkn', 'sila', 'kritik', '']",abang nggak kenal bimantara humpuss citra lamtoro gung anak jokowi nggak ujung kuku anak soeharto bang jaga bang anak keluarga jokowi seret kkn sila kritik
"['abunawas', 'laen', 'jokowi boong', 'g', 'merugika', 'rakyat', 'jelata']",abunawas laen jokowi boong g merugika rakyat jelata
"['abunawas', 'pas']",abunawas pas
"['adil', 'pertanggungjawaban', 'buka']",adil pertanggungjawaban buka
"['agama', 'ya']",agama ya
"['ahahaha', 'ntar', 'jokowi']",ahahaha ntar jokowi
"['ahk', 'kalo', 'kacau', 'menteri', 'ngobok', 'ngobok', 'sma', 'ajar', 'ajar', 'nalar', 'sma', 'nalar', 'yg', 'basmi', 'sifat', 'koruptif', 'selenggara', 'ptn', 'emang', 'kalo', 'nalar', 'ngga', 'laku', 'pasar', 'minta', 'situ', 'pasar', 'bos']",ahk kalo kacau menteri ngobok ngobok sma ajar ajar nalar sma nalar yg basmi sifat koruptif selenggara ptn emang kalo nalar ngga laku pasar minta situ pasar bos
"['aja', 'bohong', '', '', '']",aja bohong
"['aja', 'nyerahin', 'kredibilitas', 'joko', 'smi', 'cash', 'plan', 'jalan', 'klo', 'gak', 'tuju', 'joko', '']",aja nyerahin kredibilitas joko smi cash plan jalan klo gak tuju joko
"['ajak', 'pemuda', 'desa', 'bangun', 'desa']",ajak pemuda desa bangun desa
"['ajar', 'dr', 'jokowi', 'haha']",ajar dr jokowi haha
"['ajar', 'matematika', 'dn', 'sejarah', 'yu', '']",ajar matematika dn sejarah yu
"['akal', 'waras', 'mmg', 'sdg', 'uji', 'jaman', 'jokowi', '', 'moga', 'menang', 'ekdistensi', 'nkri']",akal waras mmg sdg uji jaman jokowi moga menang ekdistensi nkri
"['aktor', 'main', 'sinetron', 'polisi', '', 'glamour', '']",aktor main sinetron polisi glamour
"['akun', 'cewek', 'adakh', 'yg']",akun cewek adakh yg
"['alas', 'presiden', 'jokowi', 'azwar', 'anas', 'menteri', 'panrb', '', '', 'sinarjabar', 'sinarjabardotcom', 'faktual', 'kritis', 'infojabar', 'jabar', 'jawabarat', 'beritajabar', 'news', 'alasanpresiden', 'jokowi', 'azwaranas', 'menteriparb']",alas presiden jokowi azwar anas menteri panrb sinarjabar sinarjabardotcom faktual kritis infojabar jabar jawabarat beritajabar news alasanpresiden jokowi azwaranas menteriparb
"['', 'aleg', 'mayoritas', 'dukung', 'jokowi', '', 'partai', 'juara', 'korupsi', 'dalam']",aleg mayoritas dukung jokowi partai juara korupsi dalam
