,final,TF_UNIGRAM,IDF_UNIGRAM,TFIDF_UNIGRAM
0,is it okay if yo girl me have crush on yo man this feeling juts comes right away and control it if not ok what should do salty in aja gapapa kalo emang nyeleneh,"[0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.08333333333333333, 0.041666666666666664, 0.041666666666666664, 0.08333333333333333, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.08333333333333333]","[3.883403088580071, 5.075541435259004, 4.507557397653065, 5.829313237635384, 5.962844630259907, 6.810142490647111, 5.829313237635384, 5.829313237635384, 6.52246041819533, 5.200704578213011, 6.29931686688112, 6.52246041819533, 3.2547944291576973, 5.075541435259004, 6.52246041819533, 6.810142490647111, 5.6061696863211745, 5.711530201979001, 6.116995310087166, 6.29931686688112, 7.90875477931522]","[0.16180846202416962, 0.21148089313579183, 0.1878148915688777, 0.242888051568141, 0.24845185959416277, 0.2837559371102963, 0.242888051568141, 0.242888051568141, 0.5435383681829441, 0.21669602409220878, 0.26247153612004664, 0.5435383681829441, 0.13561643454823738, 0.21148089313579183, 0.27176918409147205, 0.2837559371102963, 0.2335904035967156, 0.23798042508245837, 0.2548748045869652, 0.26247153612004664, 0.6590628982762683]"
1,panas banget,"[0.5, 0.5]","[3.81441021709312, 6.29931686688112]","[1.90720510854656, 3.14965843344056]"
2,maaf ngeluhhh relationship kesini komunikasi jelek banget usaha reach up ngalah asa really love him want him go but susah banget waktu aja cont https tco,"[0.05, 0.05, 0.1, 0.05, 0.05, 0.05, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]","[3.883403088580071, 5.711530201979001, 3.81441021709312, 6.116995310087166, 4.2978368666709965, 6.52246041819533, 6.52246041819533, 2.2992829841302607, 6.810142490647111, 6.810142490647111, 5.343805421853684, 5.4238481295272205, 5.962844630259907, 2.2992829841302607, 5.343805421853684, 6.810142490647111, 5.4238481295272205, 6.29931686688112]","[0.19417015442900357, 0.2855765100989501, 0.38144102170931204, 0.30584976550435833, 0.21489184333354983, 0.3261230209097665, 0.652246041819533, 0.11496414920651304, 0.3405071245323556, 0.3405071245323556, 0.26719027109268423, 0.27119240647636106, 0.29814223151299535, 0.11496414920651304, 0.26719027109268423, 0.3405071245323556, 0.27119240647636106, 0.31496584334405603]"
3,aja bales pagi spamming semalem gitu dibales pagi telfonpun gamau angkat balesnya dm ig last seen ignya menit salah kaya marah gitu nangisss,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.125, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.125, 0.0625, 0.0625]","[3.883403088580071, 6.29931686688112, 6.52246041819533, 4.864232341591798, 5.711530201979001, 3.8657035114806706, 4.507557397653065, 4.817712325956904, 6.52246041819533, 6.29931686688112, 6.116995310087166, 4.773260563386071, 4.96431580014878, 6.29931686688112]","[0.24271269303625445, 0.39370730418007, 0.4076537761372081, 0.30401452134948737, 0.3569706376236876, 0.4832129389350838, 0.2817223373533166, 0.3011070203723065, 0.4076537761372081, 0.39370730418007, 0.38231220688044787, 0.5966575704232588, 0.31026973750929876, 0.39370730418007]"
4,rekomendasiin film netflixx manis ga too much kaya donggg makasii https tco,"[0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]","[5.962844630259907, 5.51085950651685, 2.7326050467413916, 2.2992829841302607, 4.817712325956904, 5.711530201979001, 6.116995310087166, 6.52246041819533, 6.810142490647111, 2.2992829841302607, 6.29931686688112]","[0.5420767845690825, 0.5009872278651681, 0.2484186406128538, 0.2090257258300237, 0.437973847814264, 0.5192300183617274, 0.5560904827351969, 0.5929509471086664, 0.6191038627861011, 0.2090257258300237, 0.5726651697164654]"
5,eh udah baca plis takut bangettt fakkk arghhh ibuknya jugaaa allah https tco kmxvbqkgxb,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[5.711530201979001, 5.6061696863211745, 6.52246041819533, 6.52246041819533, 2.2992829841302607, 7.215607598755275, 5.962844630259907, 4.474767574830074, 2.2992829841302607, 3.5780214390288894]","[0.5711530201979002, 0.5606169686321175, 0.652246041819533, 0.652246041819533, 0.2299282984130261, 0.7215607598755276, 0.5962844630259907, 0.4474767574830074, 0.2299282984130261, 0.35780214390288895]"
6,mending beli buku rak buku beli rak buku buku dikit,"[0.25, 0.5, 0.125, 0.125]","[4.689878954447019, 6.116995310087166, 6.52246041819533, 4.864232341591798]","[1.1724697386117549, 3.058497655043583, 0.8153075522744162, 0.6080290426989747]"
7,ayo drop lagu vibes sinar matahari hangat gitu,"[0.25, 0.25, 0.25, 0.25]","[5.711530201979001, 5.343805421853684, 3.8657035114806706, 5.075541435259004]","[1.4278825504947503, 1.335951355463421, 0.9664258778701676, 1.268885358814751]"
8,liat jadwal event anime gitu darimana cantumin akun huhu thanks in advance,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[6.810142490647111, 4.96431580014878, 6.116995310087166, 6.52246041819533, 3.8657035114806706, 5.962844630259907, 5.200704578213011, 7.215607598755275, 4.612917913310891, 5.6061696863211745]","[0.6810142490647112, 0.496431580014878, 0.6116995310087167, 0.652246041819533, 0.3865703511480671, 0.5962844630259907, 0.5200704578213011, 0.7215607598755276, 0.46129179133108916, 0.5606169686321175]"
9,bener nih kalo ngechat doang nyepam ga bales https tco jslxcic,"[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]","[6.29931686688112, 5.4238481295272205, 5.018383021419056, 2.7326050467413916, 2.2992829841302607, 3.2547944291576973, 6.29931686688112, 5.962844630259907, 2.2992829841302607]","[0.6999240963201244, 0.6026497921696912, 0.5575981134910062, 0.3036227829712657, 0.2554758871255845, 0.36164382546196633, 0.6999240963201244, 0.6625382922511007, 0.2554758871255845]"
