datetime,username,content
2023-02-16 07:38:12+00:00,convomf,Kapan balik lagi ya ini followingnya.
2023-02-16 01:20:28+00:00,convomf,Good morning. https://t.co/izqb8S8pmN
2023-02-15 23:23:48+00:00,convomf,"💙 dah dah, mundur pelan² 🙂"
2023-02-15 23:23:44+00:00,convomf,"💙 kpop !

Dulu tuh nct di twtr suka ada bales²in reply kita, namanya apa dehh???"
2023-02-15 23:20:14+00:00,convomf,"💙 sender ngetawain bekal adek, pdhl sender yg buat😭😭😭 

(btw ini buat sarapan bersama di kelas y. Jd aman kok sayurnya😎) https://t.co/8CGbVRJ7ty"
2023-02-15 23:12:24+00:00,convomf,"💭 sender tadi abis mandi besar terus hari ini mau lgsung niat puasa ganti, bisa ga sih?"
2023-02-15 23:07:05+00:00,convomf,💙 Dia langsung bisa flirty rep sana-sini ke cewe² baru setelah h+1 kami putus. Its just a cover atau?
2023-02-15 23:05:10+00:00,convomf,💙 tiket kereta go show biasanya berapa jam sebelum berangkat ya?
2023-02-15 23:01:13+00:00,convomf,"💙 krn ini jdi aku sering evaluasi diri berbenah dan bersyukur aja, makasih yg udh mau baca cerita ku. https://t.co/jmh7CVEPLb"
2023-02-15 22:57:38+00:00,convomf,"💙 mau nanya dong. kalau misalnya nih kita lagi puasa terus pikiran kita bilang gini ""kalau hari ini gue ga puasa, pasti gue bisa bekel ini itu ini itu"". ""apa gue bekel aja ya, puasanga ga jadi"". batal gak puasanya?"
2023-02-15 22:56:49+00:00,convomf,"💭 kenapa ya org tua selalu ga terima kalo anaknya capek, emang org tua doang ya yg boleh capek?:("
2023-02-15 22:53:10+00:00,convomf,💙 kalian punya akun email berapa?
2023-02-15 22:50:17+00:00,convomf,"💙 walaupun telat karna ujan mulu (gabisa belinya😭), tapi gapapa kan ya? mau ngasih ke temenku hehehe doain semoga mereka suka yaa🥺💐 https://t.co/CSXMoim8Bg"
2023-02-15 22:49:50+00:00,convomf,"💭 hi, today is my birthday"
2023-02-15 22:40:00+00:00,convomf,"💭 tips mengendarai motor di jalan raya bagi pemula dong, thx😌"
2023-02-15 22:35:13+00:00,convomf,"buat u s e r s3msung, ini ada yg tau cara ngatasinnya? makasih 💙 https://t.co/SthSJgvE3X"
2023-02-15 22:29:23+00:00,convomf,"💙 demiapa dulu gue b3li mugwort mask ax1s  y 300k, sekarang cuma 100k yaallah mau nangis 😭 bisa dapet 3 jar jwiwheidhdu 😭😭😭"
2023-02-15 22:28:55+00:00,convomf,💙 sbnernya reaply ss pas jam 12 tuh penting ga sih buat anak sekolah? atau malah ngabisin ss??soalnya kan cuma di dalem kelas ga kena sinar matahari
2023-02-15 22:23:51+00:00,convomf,"💙 telkomsel ada ekstra kuota nih, cuman tukar 10 poin doang. Masa berlaku sampe besok guyss https://t.co/7NWvdXyhcM"
2023-02-15 22:20:11+00:00,convomf,💙 met hari kamis buat kamu maniezz
2023-02-15 22:19:12+00:00,convomf,💭 ngang ngong di SMA tau-tau udah mau kelas 11
2023-02-15 22:17:55+00:00,convomf,💙 SOSIS SOLO SUBUH2 BARU MATENG MASIH PANAS GAISSSSS😍😍 https://t.co/SnU0Ef2X6d
2023-02-15 22:10:34+00:00,convomf,💭 hawt ppl tuh bangunnya jam segini ygy🤙🏻
2023-02-15 22:09:44+00:00,convomf,💙 dingiinn guys mau mandi🥶
2023-02-15 21:59:10+00:00,convomf,💙 i ran out of sabun n shampoo (the actual means) alias GAJIAN KNP LAMA BET YA
2023-02-15 21:45:52+00:00,convomf,💙 met pagiii dari ak yg udah bngun dan siap mnjalani kelas 10 sks dari pagi smpe sore 😵 https://t.co/UDuIdfx92Q
2023-02-15 21:26:20+00:00,convomf,"💙 halo, aku mau tanya buat kalian yang pernah magang kalo proses revisi laporan itu sama pembimbing dari instansi tersebut kah?"
2023-02-15 21:19:29+00:00,convomf,💙 ip 11 ibox new or 13pro inter but imei aman tapi mines sering lowbat second
2023-02-15 21:11:36+00:00,convomf,💙 pagi guys
2023-02-15 20:55:46+00:00,convomf,"jadi ada tuh cwk yg suka ngetagin gue tiap ada hal lucu, tiap butuh ditemenin, dll tapi kalo gue dm jarang dibalas (biasanya ngereact doang). menurut kalian, dia itu kenapa? kita baru kenal juga dari komunitas gitu 💭"
2023-02-15 20:45:17+00:00,convomf,💙 Let's play with your imagination; what kind of a person (or creature) would you be in another life?
2023-02-15 20:36:14+00:00,convomf,"💙 gais, sbnernya serangan jantung bsa ga sih kena ke anak umur 18 tahun?"
2023-02-15 19:49:10+00:00,convomf,"cw // food 

buat sahur mending masak lem0nilo ayam bawang atau indom!e goreng ya? bingung, ga ada stok lain soalnya wkwkw 💭"
2023-02-15 19:33:47+00:00,convomf,"cw // tiktok

kalian yg kepribadiannya cenderung introvert, maunya punya pasangan kaya gimana? sesama intro/extro? alasannya apa? 💭 https://t.co/VOzebsEPU0"
2023-02-15 19:28:55+00:00,convomf,💙 guys ga kuliah tuh gapapa kan?
2023-02-15 19:12:20+00:00,convomf,💙 kangen tapi gabisa diungkapin
