datetime,username,content
2022-12-08 04:27:10+00:00,convomfs,💭 ada yang akhir-akhir ini sakit perut mulu gak sih 😨👆
2022-12-08 04:26:29+00:00,convomfs,🤍 ss 3w clinic yang ada barcode nya udah ready belum ya??
2022-12-08 04:25:25+00:00,convomfs,guyss kemaren kan w format kartu SD gara2 ga bisa mindahin file terus abis w format tu kartu SD w ga mau muncul lagi di hp pdhl udah w restart hpnya kenapa ya kira2?? 🤍
2022-12-08 04:25:10+00:00,convomfs,"💭 kalian pernah ngalamin gasih, kalo tiap pagi selalu mual gitu, tapi cuma beberapa menit aja. Itu kenapa ya?
Btw aku belum nikah ya dan ga ngapa2in"
2022-12-08 04:25:05+00:00,convomfs,"🤍 wajar gasi aku marah ke sepupu aku soalnya dia suka make barang barangku seenaknya tanpa bilang, aku marah malah dibilang lebay pelit dll😞"
2022-12-08 04:23:24+00:00,convomfs,"Sate pas siang-siang trnyata sgt enak, aku beli 15k dapet 13 tusuk 💭 https://t.co/3wT6jRRBok"
2022-12-08 04:23:10+00:00,convomfs,"🤍 rekomendasi lipbalm yg berwarna di bibir dongg, thx yaa"
2022-12-08 04:20:08+00:00,convomfs,"🤍 wta, nonton film me before you yang legal di mana ya? tia"
2022-12-08 04:20:02+00:00,convomfs,🤍 halloo ada yang mau bantu ucapin wish di padlet buat ultah temenku ga?
2022-12-08 04:18:29+00:00,convomfs,💭 TETEP SEMANGAT DITENGAH GEMPURAN SEMPRO DAN SEMHAS😚 https://t.co/GDFce22czA
2022-12-08 04:17:32+00:00,convomfs,"🤍 haloo, jadi sender baru aja gak sengaja ngehapus semua foto dan file2 penting di hp secara permanen, cara biar bisa dibalikin lagi gimana ya? Plss pusing banget"
2022-12-08 04:15:43+00:00,convomfs,🤍 januari besok itu 4 tahun aku pake hp ini dan pas banget ultah aku jg… enaknya upgrade ga ya? Kalian biasanya upgrade handphone brp tahun sekali?
2022-12-08 04:15:18+00:00,convomfs,ENAKNYA MAIN APA YAK 🤍
2022-12-08 04:15:06+00:00,convomfs,"🤍 Agak ga penting sih, tp ni aku mau confess ke cowo gais, ada yg mau baca ga? Aku pengen tau kalo orang lain yg baca gmn. Nanti tolong bantu revisi. Yg mau ntar aku dm"
2022-12-08 04:12:27+00:00,convomfs,🤍 minta saran supaya jadi orang yang asyik dan selalu rame di jb jb in dong 😔
2022-12-08 04:12:24+00:00,convomfs,"💭 guys, ada yg pernah gini gak? kalo wifi nya di matiin, langsung gk ada jaringan.. giliran di aktifin wifinya, ada sinyal tpi ada logo telponnya gitu. Kenapa ya? cara benerinnya gimana? https://t.co/x1GZ2llC0a"
2022-12-08 04:11:37+00:00,convomfs,"💭 yg pake smartfren, sinyal nya tiba"" hilang ga ya kaya gini? padahal tadi pagi aman"" aja. ada yang gitu? https://t.co/B1JsGlYVj9"
2022-12-08 04:11:20+00:00,convomfs,🤍 Markicob seunik apa sih ini sampe pada rekomendasi 😌 https://t.co/8CjNl0InHD
2022-12-08 04:10:07+00:00,convomfs,"💭 guys aku kaget bgt ternyata aku selama ini jadi selingkuhannyaa WKWKWK, dia udh pcran sm cweknya hampir 2tahun lebih, tapi bisa""nya ngaku jomblo pdhl pas aku stalk ignya haeduh. Gws buat cwok"" skrng jahat bangett😭🙏🏻

dia lngsng aku cut off + blokir semua"
2022-12-08 04:05:45+00:00,convomfs,"💭 Guyss Kan aku ada tugas,.nah nilai nya diliat dr like dipostingnya. Jadi mau minta tolong bantu like nyaa🙏🏻 nanti link nya aku share by dm yaaa. TIA ✨"
2022-12-08 04:05:21+00:00,convomfs,💭 klean ada nyalain notif mutual ga disini? sejak kapan? kalo berani tag dong orangnya 😀
2022-12-08 04:05:12+00:00,convomfs,"🤍 ini matmin ya, sama yg gk remidi yg 80, 82 sama 72 https://t.co/Ww2hRwdD6t"
2022-12-08 04:03:34+00:00,convomfs,"🤍 haii disini ada yang tiktok affilate? kalo ada mau tanya2 dong, aku mau coba tiktok affilate juga tapi aku masih new bie"
2022-12-08 04:03:33+00:00,convomfs,💭 tato dilutut sakit bgt gak?
2022-12-08 04:03:06+00:00,convomfs,"🤍 rekomendasiin kuliner di malang dong, mau aku masukin list buat liburan kesana"
2022-12-08 04:00:08+00:00,convomfs,"Pas liat nilai jelek 😭😭😔😔😔💔💔💔 
Pas tau sekelas remidi semua 🤩🤩🤩🤩
🤍 https://t.co/p2ZYyourVj"
2022-12-08 03:56:08+00:00,convomfs,"💭 guys inituh app spotitats, kalo aku click ""delete my account"" itu akunku di app spotify bakal ke-delete juga? tia https://t.co/VZk3YHKpP6"
2022-12-08 03:55:58+00:00,convomfs,💭 kalo ngelike playlist orang ketauan ga?
2022-12-08 03:55:41+00:00,convomfs,ges kl order mekdi di mesinnya itu bisa pake voucher yg di app ga sih? kl bisa caranya gmn ya? 💭
2022-12-08 03:55:07+00:00,convomfs,"🤍 kalian pernah ga sih nemu orang kaya gini, jadi si A punya pacar, si B punya pacar tapi si A sama si B ini semacam fwban. ini kalau begini tuh kenapa ya? kok bisa.."
2022-12-08 03:55:02+00:00,convomfs,"💭 kl buat nugas, kira2 jajan apa ya di indoapril, ada saran? tia😭"
2022-12-08 03:50:04+00:00,convomfs,tolong yang akun nya ijo bantu tag @.joelwafies TIA! 🤍
2022-12-08 03:50:03+00:00,convomfs,🤍 reapply sunscreen ga cuci muka dlu gpp?
2022-12-08 03:50:01+00:00,convomfs,"🤍 Aku rencananya mau be yi hp, tapi bingung antara ip 13 atau 13 mini. Kalo ada yg make ip 13 mini boleh liat mirror selfienya ga? Aku mau bandingin soalnya, makasihh."
2022-12-08 03:50:01+00:00,convomfs,🤍 이번엍토거 웃타드 님?
2022-12-08 03:46:40+00:00,convomfs,dakh! Knp yh
2022-12-08 03:46:40+00:00,convomfs,"💭 Mo tanya aja. Kalian pernah gak ngerasa setelah sama orang ini (siapapun itu pacar, bestie dll), kalian ngerasa jadi banyak hal baik yg dateng ke kalian? Ya gk selalu, tapi kyk ada aja gitu hal baik terjadi. Dibilang life savior berlebihan sih cuman kek kenapa ya gatau (cont)"
2022-12-08 03:45:14+00:00,convomfs,💭 game offline yg seru apa aja ya guis
2022-12-08 03:45:04+00:00,convomfs,💭 Pengen survei rerata usia folls convo. Kalian 2 tahun lagi usianya berapa?
2022-12-08 03:42:47+00:00,convomfs,guys bagi meme sejenis gini dong 🤍 https://t.co/XLPguxPT0w
2022-12-08 03:40:38+00:00,convomfs,🤍 mau pict yang se vibe sama ini dongg https://t.co/cuS2OGKkNl
