datetime,username,content
2022-10-06 03:35:15+00:00,sjhwanloml,@convomfs iyanih
2022-10-06 03:35:15+00:00,seonghwanjay,"@convomfs Pulang, biar ga keluar duit makan"
2022-10-06 03:35:14+00:00,dfbloodlttefa2b,@convomfs 🤭
2022-10-06 03:35:14+00:00,uarmylights,@convomfs Wkwkwkwk punyaku hampir copot malah 😭🤲🏻
2022-10-06 03:35:13+00:00,honeybee_jay,@convomfs Otiwi rian
2022-10-06 03:35:12+00:00,jayjosfnc,@convomfs enih acc dump ku🤓 https://t.co/2OlFV08DXy
2022-10-06 03:35:11+00:00,jdohnyaaarenjun,"@convomfs yg penting rapi enak diliat, gondrong juga bukan sembarang gondrong"
2022-10-06 03:35:11+00:00,chxpeyz,@nakaharachooya @convomfs p mkst
2022-10-06 03:35:09+00:00,taeyloml,@convomfs https://t.co/Ebmy4d9EU1
2022-10-06 03:35:06+00:00,singlelelah12,@convomfs mendung makin redup
2022-10-06 03:35:05+00:00,convomfs,💭 saran ramen yg enak dong (bukan instan ya)
2022-10-06 03:35:04+00:00,bacotanale,@convomfs kadang iya si
2022-10-06 03:35:04+00:00,jadisyantik,"@convomfs You've ruined my life, by not being mine"
2022-10-06 03:35:03+00:00,NFchoo,@convomfs Overtime https://t.co/AJOsR5GKEj
2022-10-06 03:35:01+00:00,oceanandromeda,@azelfrn @convomfs Search di google aja kak
2022-10-06 03:35:01+00:00,TripletsJS__,@convomfs Anak cangtip🫶🏻🥹 https://t.co/0TWwnxCBrz
2022-10-06 03:34:58+00:00,jaeminnyx,@doyilofs @convomfs old roll dik
2022-10-06 03:34:57+00:00,dumplingsucks,@convomfs pulang kerumah nder
2022-10-06 03:34:56+00:00,jeeeeehaaaa,"@convomfs maaf nder, kalo kamu emang merasa sudah dirugikan yang dampaknya besar ke kamu, ya its ok gpp mau laporin cuma kamu mgkn akan di investigasi dan ujung ujungnya disarankan damai secara kekeluargaan"
2022-10-06 03:34:54+00:00,pelukbumi,@ROYALG4L @convomfs oldroll
2022-10-06 03:34:51+00:00,milkberrycf,@convomfs kadang bisa kadang ga😭😭
2022-10-06 03:34:51+00:00,Maraballey,@convomfs Nanti pacarmu izin ke toilet tapi ga balik balik nder😔
2022-10-06 03:34:50+00:00,Gaemiftah,@convomfs polisi kasus serius aja kaga diseriusin apalagi cuma tg tg beginian wkwkwkwk
2022-10-06 03:34:50+00:00,yeoonnajj,@convomfs gue sendiri nder orangnya
2022-10-06 03:34:50+00:00,daegalel,@convomfs yaaa
2022-10-06 03:34:50+00:00,vitamigu,@convomfs IYA BGTTT!!! kek maless bgtt 😭😭😭🙏 gua tauuu lohhhh ada kerjaan rumahhh kek sabarrrr donggg
2022-10-06 03:34:49+00:00,haloowins,@convomfs https://t.co/jJ1aVL3h56
2022-10-06 03:34:49+00:00,ohsrant,@convomfs mendung doang
2022-10-06 03:34:48+00:00,yuda_san15,@convomfs Kaga
2022-10-06 03:34:47+00:00,hwarangna,@convomfs Bisa dong
2022-10-06 03:34:46+00:00,ifahadidnt,@convomfs bener juga
2022-10-06 03:34:45+00:00,jaeminnyx,@biubiubiqis @convomfs iyaa kak
2022-10-06 03:34:45+00:00,yoodreamies,@convomfs bisa
2022-10-06 03:34:44+00:00,LALALAALAAAAAHh,"@convomfs Gesss lu pada tau Firaun ga si? Ingfo baru na dia ngaku2 sebagai Tuhan woy😭itu gada yg berani bantah, pada manut2 wae soale pda takut ges. Jan dateng ke Depok ntar ktemu Firaun"
2022-10-06 03:34:44+00:00,islalatt,@convomfs Kurang nderrr
2022-10-06 03:34:41+00:00,febryours_fk,@ohpiyakpiyak @convomfs mirip gini gini lahhh https://t.co/ZV4tnPlM7u
2022-10-06 03:34:37+00:00,jenniebyalma,@JELEKPART1 @liltweetybirdU @convomfs @myrsnn jdi ga ush beli baju bnyak²
2022-10-06 03:34:37+00:00,mingupinguw,@convomfs https://t.co/Vz3NKl8Hrt
2022-10-06 03:34:36+00:00,pororoyie,@convomfs rain nih
2022-10-06 03:34:36+00:00,fyrelavie,"@convomfs banget, mana cuaca mendukung, lagi hujan."
2022-10-06 03:34:35+00:00,ndakduyu_,@navierneverend @convomfs tolong banget🤣🤣🤣🤣🤣😭😭😭😭😭😭
2022-10-06 03:34:35+00:00,lyctee,@convomfs tida
2022-10-06 03:34:33+00:00,convomfs,🤍 terpaksa ditambal pake karet duluu😭 https://t.co/876f0qCcg0
2022-10-06 03:34:33+00:00,meanieyay,@convomfs Biasanya sore
2022-10-06 03:34:32+00:00,keluargacassano,@convomfs Rain
2022-10-06 03:34:28+00:00,olattelv,"@convomfs ""anjay dek"""
2022-10-06 03:34:24+00:00,xxtuanputri,@convomfs bisa sebab motornya mayan ringan
2022-10-06 03:34:24+00:00,AP0NATTAWlN,@convomfs https://t.co/BFM6emyiU3
2022-10-06 03:34:23+00:00,saaayyyaaaaa,@convomfs Tidak nder
2022-10-06 03:34:23+00:00,bilblibli,@convomfs 🙁
2022-10-06 03:34:23+00:00,taeevantaee,@convomfs mendung bgt
2022-10-06 03:34:21+00:00,denaRa_aoisoRaa,@convomfs Bukaann
2022-10-06 03:34:21+00:00,jaeminnyx,@kiddigrey @convomfs old roll kak
2022-10-06 03:34:20+00:00,iIustrasi,@convomfs pulang
2022-10-06 03:34:19+00:00,Renjana_rindu,"@convomfs Gais, nitip ada yg punya ss batre low ngga? Butuh nih"
2022-10-06 03:34:16+00:00,JNJMIESE2,"@convomfs 😭

bner bgt anj"
2022-10-06 03:34:16+00:00,rahasiaocha,@convomfs cuci pake mesin cuci
2022-10-06 03:34:14+00:00,ayangakurenjun,@convomfs https://t.co/JvIf0fMCVB
2022-10-06 03:34:13+00:00,binimashiho,@convomfs https://t.co/Ml1MQuAtoN
2022-10-06 03:34:12+00:00,ROYALG4L,@pelukbumi @convomfs pake apa ni kak?
2022-10-06 03:34:12+00:00,lopetreuz,@convomfs Tupperware dong tsay
2022-10-06 03:34:11+00:00,sadnigjt,"@convomfs tidak, tapi mendung cerah"
2022-10-06 03:34:10+00:00,hpsiapaini,@convomfs pulang
2022-10-06 03:34:08+00:00,akngtaa,@convomfs kaga
2022-10-06 03:34:07+00:00,hcno_oisan,"@convomfs tdk, di sinie cerah⛅"
2022-10-06 03:34:07+00:00,cosacasuale,@convomfs Rain nderr
2022-10-06 03:34:07+00:00,drunkzlion,@convomfs rian
2022-10-06 03:34:07+00:00,jiIovs,"@convomfs Bukan jepretan sendiri, tapi effect oldroll cakeppp betulll https://t.co/DBedtXDsM8"
2022-10-06 03:34:05+00:00,bearrxsss,@inspirazee @convomfs Bener bangett
2022-10-06 03:34:05+00:00,jenniebyalma,@myrsnn @liltweetybirdU @convomfs iya rin ini mah msih bisa kayang
2022-10-06 03:34:05+00:00,denaRa_aoisoRaa,@convomfs Endaaa
2022-10-06 03:34:05+00:00,gredomsky,"@convomfs bs dong cuy, tp tergantung motornya"
2022-10-06 03:34:03+00:00,aintcloser,@convomfs iya
2022-10-06 03:33:59+00:00,mierreru,@convomfs mirip chenlee
2022-10-06 03:33:58+00:00,GiffariAl7,@convomfs 😭
2022-10-06 03:33:58+00:00,yawnztn,@convomfs what’s wrong with you
2022-10-06 03:33:58+00:00,sadrinaxandra,@convomfs https://t.co/FE09TYuBJl
2022-10-06 03:33:58+00:00,sanatwgf,@convomfs “pdhl gue cakep cok knp dia ga nembak gue y@
2022-10-06 03:33:57+00:00,nkop____,@convomfs Kalo bentukannya kyak angga yunanda mah syaa mauuu
2022-10-06 03:33:57+00:00,jaejjangaegi,@convomfs kalo merugikan (uang) ya bisa nder
2022-10-06 03:33:57+00:00,nikeardiluc,"@convomfs KOK LANTAI
LEVEL ANJIR

kebanyakan naik lift"
2022-10-06 03:33:56+00:00,uliyaaul,@convomfs Ini adlh sy sendiri di cf sw
2022-10-06 03:33:55+00:00,acccipa,@convomfs baru mendung
2022-10-06 03:33:53+00:00,infpmw,@convomfs rian dari pagi :(
2022-10-06 03:33:53+00:00,karinaceh,@convomfs iyaa
2022-10-06 03:33:52+00:00,pelukbumi,@convomfs nieeee https://t.co/YQe9YjBYoI
2022-10-06 03:33:51+00:00,bbayiiik,@convomfs bisa kalo ke polisi cinta
2022-10-06 03:33:51+00:00,Liamaukayaraya,@convomfs mau jadi artis wkwkwk
2022-10-06 03:33:50+00:00,SaintHaezer,@convomfs Pernah baca di quora kalo gasalah. Intinya Medusa dikutuk tuh ada faedahnya jg. Kan dia dilecehin sm Poseidon di kuilnya Athena(?) Nah kan Athena hrs mau gamau ngadih hukuman. Nahkan ya gamungkin dia ngasih hukuman ke Poseidon yg notabene dewa tingkat atas.
2022-10-06 03:33:50+00:00,denaRa_aoisoRaa,@convomfs Jelas engga
2022-10-06 03:33:49+00:00,jenniebyalma,@liltweetybirdU @myrsnn @convomfs BAJU AJG😭😭😭
2022-10-06 03:33:49+00:00,park_haru05,@convomfs gaaaa...
2022-10-06 03:33:48+00:00,AdaApaSiWoi,"@convomfs 🌚

Anjir blek mun"
2022-10-06 03:33:46+00:00,raestudiess,@convomfs 👹
2022-10-06 03:33:45+00:00,vynnxxa,@convomfs panas
2022-10-06 03:33:44+00:00,jejinotjoji,@convomfs Pernah😔
2022-10-06 03:33:44+00:00,aabangyedam,@convomfs PACARAN YUKKKKK https://t.co/cDz9zr4B2s
2022-10-06 03:33:43+00:00,AWASCERET,@Alfhabeta_Az @convomfs Si nuna banyak tingkah @nunnssky_ @xiakiw
2022-10-06 03:33:43+00:00,convomfs,"🤍 hey kamu kok bisa baik baik aja tanpa aku, sedangkan aku tidak"
2022-10-06 03:33:43+00:00,bolaubby,"@convomfs PERNAH!!! pertama kali ngerasa ada something wrong di gua dan find out kalo ada disorder yg gua punya, disitu gua kek nyadar gua gapunya temen yg bener2 gua jadiin temen cerita yg serius gtu. tmn gua bnyk cuman mereka yg cerita ke gua bukan gua wkwk. keseringan mendem gabaik ygy"
2022-10-06 03:33:42+00:00,kiwaachan_,@convomfs lah kocak
2022-10-06 03:33:42+00:00,RaffiBachtiar2,@convomfs https://t.co/Va2iz1pUkK
2022-10-06 03:33:42+00:00,rosesaroze,@convomfs bukan
2022-10-06 03:33:41+00:00,nikeardiluc,"@convomfs lt 6 tp skip lt 5
kurang suka steamboat"
2022-10-06 03:33:37+00:00,holyminyoongi_,@convomfs gaaa bisaa
2022-10-06 03:33:37+00:00,haiihello15,@convomfs https://t.co/4hZW7oOuQD
2022-10-06 03:33:37+00:00,jaejaeeem,@convomfs Bisaa
2022-10-06 03:33:30+00:00,hae6aragi_,@convomfs https://t.co/Oxo4RBZamm
2022-10-06 03:33:29+00:00,iIustrasi,"@convomfs no, disini panas."
2022-10-06 03:33:29+00:00,juneeeidin,@convomfs Tidaks nder
2022-10-06 03:33:29+00:00,Oxtbrwin,@convomfs Baru mendung
2022-10-06 03:33:29+00:00,junacoup,@convomfs Tidak
2022-10-06 03:33:27+00:00,urgalaxypixy,@convomfs Dari subuhh :v
2022-10-06 03:33:25+00:00,uliyaaul,"@cityni9ht @convomfs Samaaa, dulu awal pandemi sekontak sama mutual2 twitter seru bgt nyepam sw"
2022-10-06 03:33:20+00:00,ofcbcsofu,@convomfs ndak
2022-10-06 03:33:19+00:00,reksaanj,@convomfs sering
2022-10-06 03:33:16+00:00,abaraiy,@convomfs mendung
2022-10-06 03:33:12+00:00,masadepanshoyo,"@convomfs sy sendiri begini nder, kyknya temen gue jg udah muak sama sw random gue 😞"
2022-10-06 03:33:11+00:00,milchyl,@convomfs setiap hari
2022-10-06 03:33:10+00:00,yoonsvkiee,@convomfs Ada dong https://t.co/waWmpNdtdE
2022-10-06 03:33:10+00:00,regbower,@convomfs tydack
2022-10-06 03:33:09+00:00,sphyo_,@convomfs kabelnya mengganggu https://t.co/qFy6Kopujc
2022-10-06 03:33:07+00:00,fyrelavie,@convomfs berak lah anjir 😭🤌🏻
2022-10-06 03:33:07+00:00,dlikeful,@convomfs Deres bos
2022-10-06 03:33:07+00:00,KangBaks00,@convomfs Semua udah pernah
