datetime,username,content
2022-10-12 06:48:56+00:00,rxxyz6,@FiersaBesari terlalu menyakitkan ketika diliat
2022-10-12 06:28:05+00:00,nadubasyri,"SEBUAH GARIS WAKTU...

Jika saatnya tiba sedih akan menjadi TAWA
Perih akan menjadi CERITA 
Kenangan akan menjadi GURU
Rindu akan menjadi TEMU
KAU dan AKU akan menjadi KITA ♡
                        _FIERSA BESARI_"
2022-10-12 06:27:33+00:00,missheart222,@t @teddspotting @R @jericho_rosales @rajolaurel @sam_yg @meganbata @JuanJCaballo @s @Dixxon69 @sam_yg @sam_concepcion @PapaJackAdvices @Bamboomusiclive @teddspotting @virendersehwag @CamillePrats @carlosceldran @zaynmalik @ZelenskaUA @XabiAlonso @FiersaBesari @
2022-10-12 06:10:41+00:00,daissysfriend,"fiersa besari was right,

kita adalah rasa yang tepat di waktu yang salah."
2022-10-12 06:02:46+00:00,Selvi28874608,@FiersaBesari 🤣
2022-10-12 05:37:26+00:00,TemanElon,"@Vero_zq @FiersaBesari Kesel bgt ada yg beruntuuuuung bangeeeettt, ada yg makan aja sulit 😐"
2022-10-12 05:33:03+00:00,Liawa191,"Tak perlu repot-repot menyamakan diri dengan orang lain. Kau diciptakan untuk menjadi unik. Sudah terlalu banyak orang yang sama seperti kebanyakan orang. 
-Fiersa Besari"
2022-10-12 05:31:30+00:00,Vero_zq,@Gadhio19 @FiersaBesari Agakk laenn yaa
2022-10-12 05:28:37+00:00,Vero_zq,@lessruth_ @FiersaBesari Bertahan hidup karena bunuh diri tu dosaa
2022-10-12 05:23:45+00:00,Vero_zq,@TemanElon @FiersaBesari Namanya jg hidup
2022-10-12 05:08:41+00:00,FAJARSI61121744,@FiersaBesari Langsung licin dipake maen game tanpa make tepung bnjir
2022-10-12 05:08:31+00:00,Senjasurga154,@FiersaBesari Benar sekali
2022-10-12 05:00:02+00:00,Top50Clean,"Top 50 - Indonesia CLEAN 🇮🇩:

🥇 Lyodra, Andi Rianto (47 days)
🥈 Soegi Bornean
🥉 Keisya Levronka
4️⃣ Hindia
5️⃣ Mahalini ⬆️
6️⃣ Tulus ⬇️
7️⃣ Andmesh
8️⃣ Feby Putri, Fiersa Besari
9️⃣ Yura Yunita
🔟 Mahalini

#WednesdayWisdom #HumpDay
https://t.co/ltxmMavajG"
2022-10-12 04:40:11+00:00,MelanRasalemon,"Fiersa Besari salah

Ga semua yang pelik bisa diringankan dengan peluk"
2022-10-12 04:36:20+00:00,sereneura,"Baru kali ini nangis dengerin lagu, bener2 relate sama keadaan sekarang 😭 makasih @FiersaBesari https://t.co/5mUl3dlpe8"
2022-10-12 04:30:00+00:00,byndradio_,Novel ‘Garis Waktu’ karya Fiersa Besari menyadarkan pembacanya untuk semakin menghargai waktu Londoners. Seperti pesan agar menjadi diri sendiri serta menikmati hidup dan meluangkan waktu untuk melakukan hal yang kita suka karena hidup cuma satu kali. #PIKANEKA
2022-10-12 04:27:15+00:00,chntyjk,"wts tiket konser ankama
jual 60k/tiket, ready 2 tiket
GS : fiersa besari dan soegi bornean
minat langsung dm aja kack
#konsersemarang #infokonsersemarang #fiersabesari #soegibornean https://t.co/biBwPdTRit"
2022-10-12 04:23:42+00:00,jangangalau15,"@FiersaBesari Iya dicoba aja 

Beli Hells buat kondangannya dsini 👇
https://t.co/0WGzWClGkO https://t.co/9Fx58aUVoC"
2022-10-12 04:13:59+00:00,wweianna,"fiersa besari was right, ingin kubakar dia yg selalau mention mentionan denganmu di twitter"
2022-10-12 03:51:08+00:00,kkazeuha,"@NoemieRoses Fiersa Besari - Pengecut
SNSD - Forever 1

[]"
2022-10-12 03:11:47+00:00,navylaff,"Wts tiket konser fisteria 10 gsnya vierratale sama fiersa besari di graha cakrawala UM 18 November, ada 3 tiket nih dijual murah aja 😭🙏
@infomalang #ZonaUang"
2022-10-12 03:08:26+00:00,jonandrezfajar1,"@FiersaBesari Kalo dia bukan jodohku,tolong di cek lagi 🤣"
2022-10-12 03:03:48+00:00,Muh_abdul_F4hr1,Terkadang orang lain hanya melihat manis yang kita peroleh tanpa melihat proses. Kalu kata fiersa besari orang orang tau nya “enak bngt sih hidup lu.” Tapi mereka tidak tau perjuangan panjang yang tak sempat di-instastory-kan.
2022-10-12 03:03:17+00:00,pwettyczeni,@evivamore ini fiersa besari bukan si?
2022-10-12 03:00:50+00:00,nurbais27,Feby Putri feat. Fiersa Besari - Runtuh. https://t.co/zKKx6qBUci
2022-10-12 02:47:55+00:00,mahnro_,@nurrohmah___ @FiersaBesari Mbak mbaknya tinggal di bengkong tuh
2022-10-12 02:41:55+00:00,afanulil,"berita2 dinegaraku tercinta ini makin memuakkan, rindu tlku yang isinya sajak2 fiersa besari,dll. terlihat bucin/patah hati gapapa yang penting aslinya happy kiyowoo!!"
2022-10-12 02:33:43+00:00,fitmohdesa,"WANT TO SELL Malam Galau Indonesia: Fiersa Besari live in KL 🇲🇾

2x Free Standing 
-First Come First Serve
-DM me for more details 

#FIERSABESARILIVEinKL
#fiersabesarikonsert"
2022-10-12 02:33:03+00:00,suherman_uman,@FiersaBesari
2022-10-12 02:27:13+00:00,aditgandring,@88lessed @sosmedkeras Woiyo ding valentine februari.. kelingane april mergo fiersa besari
2022-10-12 02:25:24+00:00,balfasferizal27,"Good project
@Jojon597192451 @FiersaBesari @bepe20 @seterahdeh https://t.co/JY73IUNYsM"
2022-10-12 02:15:24+00:00,prd_nimasp,@FiersaBesari Tiap tahun remed juga gapapa sampai dapet 🥲
2022-10-12 02:07:27+00:00,twizzz57,@Intanndm @FiersaBesari galauu mulu mnding nntn bokep
2022-10-12 02:02:19+00:00,bangjalleyyy,@xyourfuturelife @FiersaBesari @ndagels kan lu cewe nder
2022-10-12 01:54:34+00:00,parajamaludin,12 hari tanpa video baru di youtube @FiersaBesari dan saya semakin melemah.
2022-10-12 01:50:32+00:00,NaNaHasna6,"Nggak ngotak pokoe
Seng garai senyum panggah ngimpiku meh rabi Karo fiersa Besari mambengi 😭😭😭😭😭😭"
2022-10-12 01:46:33+00:00,bukanares,@Lxorie @literarybase punya fiersa besari? INI JUJUR KEREN BGT
2022-10-12 01:45:53+00:00,boncabelevellu,Ku kira lagu ternyata kisahku @FiersaBesari - Pengecut
2022-10-12 01:37:18+00:00,dobbyiesky,"HIVI, JUICY LUICY, FIERSA BESARI, TREASURE https://t.co/V3lvrHG44J"
2022-10-12 01:33:24+00:00,ieo200707,@FiersaBesari Udah remediasi tetep bln jodohku
2022-10-12 01:06:23+00:00,NureQgiLer,@aemieruls_ Runtuh by Feby Putri and @FiersaBesari https://t.co/v9C6zx0G3j
2022-10-12 01:04:23+00:00,dxtrrr,"""Memberi perhatian tapi bukan kepastian "" Fiersa Besari - Pengecut"
2022-10-12 00:56:29+00:00,aldofaruq20,Gue kira @FiersaBesari https://t.co/6slcdZcLv7
2022-10-12 00:50:27+00:00,ihtishamhasan_,@FiersaBesari Di gosok gosok keluar daki
2022-10-12 00:47:43+00:00,xpdm124x,"@FiersaBesari was right

Kita hanyalah manusia yang terluka
Terbiasa 'tuk pura-pura tertawa
Namun bolehkah sekali saja ku menangis?
Ku tak ingin lagi membohongi diri  ☻️"
2022-10-12 00:30:37+00:00,_fazedout,@FiersaBesari HAHA
2022-10-12 00:23:39+00:00,ryuni683,@FiersaBesari Saling sapa nya via virtual kali yah ..
2022-10-12 00:19:17+00:00,cloudyraa,@NANGISAJALAHANJ @FiersaBesari Anjime
2022-10-12 00:13:45+00:00,pinanda19,@FiersaBesari jhaaahaha bisa begitu lurr
2022-10-12 00:07:33+00:00,aynunaf,@revinauw @FiersaBesari Share dong kisikisinya
2022-10-12 00:06:21+00:00,willy_cadel,"Fiersa Besari ""Masa lalu itu bukan untuk dilupakan, tapi untuk dilihat dari persepsi yang tidak menyakitkan"""
2022-10-12 00:03:56+00:00,04_alfonsius,@FiersaBesari Wkwk
2022-10-11 23:51:24+00:00,Etta05051253,@FiersaBesari Wow
2022-10-11 23:40:45+00:00,intan_nsh,"@FiersaBesari Lampor😭,nontonya bikin parno 3 hati"
2022-10-11 23:24:11+00:00,kimthyngjk,"Sarapan pagi, ditutup ngemil uli, sambil dengerin lagu april punya fiersa besari"
2022-10-11 23:15:14+00:00,Rjuli14,@FiersaBesari Hehe maaf atuh nya
2022-10-11 23:00:23+00:00,apricotblossome,"KOK KAYAK FIERSA BESARI ANJIR
https://t.co/2Bi7xabU0H"
