,finale,sentiment
0,mending beli banyak buku punya rak buku beli rak buku buku nya dikit,C
1,mana cocok tonton sama pacar saran movie romance manis ga too much terus lucu gituu makasiii tco ltnfomz,C
2,saran kado ultah buat ayah dong benda makan jangan manis tia,C
3,bantu pilihin dong mending ngecat kamar pasang wallpaper lihat segi budget keriwehan thank u,C
4,nanya dong kalian kalo ngetweet rant nyambat gitu mutual reply dibales ga trus kalo ngereply kamu bales jujur kaya gapapa aku bingung soal aku ga harap sambat reply sama moots ga enak kalo ga dibales,C
5,gak garam mau nanya aku liat yt pl prem an kok luar jadi an bawah gitu yaa aman ga yaa tia,C
6,guys mending co skinker skg karna payday apa tunggu diskon bnyk mana guys,C
7,kalau kuis terus sempat kali nah kira ambil nilai paling tinggi rata yaa sender mo ngulang cuma gatau salah takut ulang malah nambah kecil,C
8,ngecrushin org krnh formalitas nggk ap ap kan takut tmn sender mikirnya sender cmn cwo fiksi ama cwo kpop doang pdhl mah iyaa t i t i p a n,C
9,aku baru mau alih korean skincare kalian mending nyoba set cosrx thank u tco,C
10,charger kalau dipake jadi rusak ga sih rumah semua hp pake chargeran aku soal mau blg ga sangka pelit ntar serba salah,C
11,aku kan punya banyak file drakor laptop terus aku hapusin waktu recycle bin aku hapus permanen niat storage laptop aku balik mula sblm ak download drakornya kok ga pengaruh storage aku tetep stuck angka aja cont,C
12,cw luka merah merah guys mau tanyaa orang kena asam urat tuh kalo kambuh kaki sampe merah gosong gitu bokap ku asam urat tiap kambuh selalu merah gitu kaki skrng tuh merah nya bener merah bahkan betis depan sampe cont,C
13,kayak gosong gitu udh hari ga kunjung ilang merah padahal biasa hari udah ilang gapapa kan tahap wajar kan,C
14,mau tanya gais suhu badan normal ngga,C
15,kalau puasa terus bersihin gigi pake lidah bikin batal gak aku gak sadar bersihin baru mikir batal apa nda gitu,C
16,guys mau nanya kalo pake pln pascabayar arti pakai bulan september aku lunasin bayar bulan oktober kan erti bener gak,C
