datetime,username,content
2022-09-07 23:59:58+00:00,young_ladylike,"@erikamelfa @jokowi Parah emang...
Malah bilang masyarakat harus jaga data pribadi. Mau berkata kasar tapi ga bakal nyampe ke die.

Incompetent!!"
2022-09-07 23:59:54+00:00,SastroJoyo1,"@Rizmaya__ @jokowi @PDemokrat @SBYudhoyono O... pantes dulu ada yang sampe nangis
Sekarang nyanyi-nyanyi 🤭"
2022-09-07 23:59:47+00:00,oketa214,@jokowi Bangsa Indonesia dengan bapak Jokowi tetep dipuja - puja bangsa.. 🥰
2022-09-07 23:59:42+00:00,pahlevi0884,"Berkolaborasi dengan tiga kementrian tingkatkan jumlah wirausaha,
Erick Thohir siap penuhi target dari presiden Jokowi.

#BangkitBersamaET 
@erickthohir https://t.co/DMLZLBbmJX"
2022-09-07 23:59:32+00:00,_ikhwanyan,"@tvOneNews Pemerintah @jokowi tidak serius lakukan pemberantasan korupsi. Dari hal ini, sya pribadi menilai pemerintah secara terang-terangan medukung aksi korupsi. Penjahat Extraordinary Crime aja diberikan remisi. Maka tunggulah akan bermunculan koruptor-koruptor baru."
2022-09-07 23:59:23+00:00,_ikhwanyan,"Pemerintah @jokowi tidak serius lakukan pemberantasan korupsi. Dari hal ini, sya pribadi menilai pemerintah secara terang-terangan medukung aksi korupsi. Penjahat Extraordinary Crime aja diberikan remisi. Maka tunggulah akan bermunculan koruptor-koruptor baru. https://t.co/cxPOKMpc1u"
2022-09-07 23:59:20+00:00,Nonah82844099,"Bapak presiden jokowi menyambut kunjungan presiden Filipina 
.
.
#UntukKesejahteraanNKRI https://t.co/SYDR641r9E"
2022-09-07 23:59:15+00:00,Tehtarik_mantap,"Kok maksa Bagaimana kalau yang dipaksa bapak untuk mundur

#MakzulkanLurahNgibul #MakzulkanLurahNgibul

Jokowi Minta IKN Ditetapkan Jadi Proyek Strategis Nasional https://t.co/w4OApmmJUQ"
2022-09-07 23:59:08+00:00,maz_YP,@rayculz @jokowi Hilih
2022-09-07 23:59:08+00:00,dollar200jetiii,@Gentawin Ahahaha ntar minta pak jokowi
2022-09-07 23:59:03+00:00,ScioCogitoCredo,@FerdinandHutah4 @jokowi Hoekoem BUKA TUTUP SEPERTI DJALOER POENTJAK MEMBOEAT ELLON MUSK PIKIR SEJUTA KALI https://t.co/nLEDUDa500
2022-09-07 23:58:59+00:00,faridariadno,"@Safa_Andriana @jokowi bagaimana dengan pajaknya?
sama atau tidak?
bagaimana dengan biaya hidup sehari²?
sama atau tidak Indonesia dengan negara² yg disebutin itu?"
2022-09-07 23:58:57+00:00,Rachman76309270,"Ayo Wisata ke Kab/Kota Tulungagung dengan Aplikasi #DesaWisataNusantara

#TPPJatim
#TPPSampang
@jokowi
@halimiskandarnu
@taufikmadjid71
@malik_haramain
@yusradaridesa
@sukoyo793
@Brigade01Arwan1
@kpw4jatim
@ArieJatim
@Mift4hulMunir
@mujib_mdr

https://t.co/lssjKhCiwx https://t.co/dGPUgc2O0h"
2022-09-07 23:58:48+00:00,venomanga,@Edi_Gintings @laung9577 @afdian_esa @widodol_joko @Tita83079013 @YaqutCQoumas @mohmahfudmd @jokowi Loh...memang medsod yg blng onta...siapa....pret...pret...
2022-09-07 23:58:29+00:00,Awibowo__,@maman1965 Boleh dong ngatain periode kedua @jokowi ini gagal besaaar
2022-09-07 23:58:25+00:00,MohArifWidarto,Pak @jokowi waktunya turun tangan langsung. https://t.co/WklVZQI4F0
2022-09-07 23:58:04+00:00,zenny_ahmad,@_doncorleone78 @DanielSentanu @jokowi Saha eta .... wanian 🤣🤣🤣
2022-09-07 23:58:02+00:00,SuperOne1984,@tempodotco Kpn jokowi dipanggil KPK terkait kk ereta ceoat bandung jakarta??
2022-09-07 23:58:00+00:00,ScioCogitoCredo,"@FerdinandHutah4 @jokowi Djangan tertipoe pak presiden:
Penampakan ROHANI 
Perbuatan ROH IBLIS https://t.co/UZmXDHZluz"
2022-09-07 23:57:59+00:00,murdiana06,"@jokowi Pak jokowi, mau menyampaikan saja. Barangkali bapak tidak tau,menteri yg bapak lantik mesum dan tidak bisa menjaga kemaluannya 🙏🏼"
2022-09-07 23:57:51+00:00,rizaarfifi,@RamliRizal @jokowi Saya ngelihat pak tua ini lebih mirip bocah dapat mainan baru... Ya bocah!
2022-09-07 23:57:51+00:00,fhsowhat,"@Rizmaya__ @jokowi @PDemokrat @SBYudhoyono Biru biru Ngenes....
Liat Demokerat ini berasa liat chelsea...
Liat Tuchel di pecat....
Kapangiliran si anak mami..
Giliran apa???
Dipechatttt lah....
Yakan...yakan...yaiyalah
🤣🤣🤣🤣🤣"
2022-09-07 23:57:41+00:00,edyhumaidy_e,"@Metdro2 @ListyoSigitP @CCICPolri @jokowi @BossssKR @MARQUEZ__93 @newIding30 @AntonnBnj1 Parah ini, hrs diusut &amp; diproses hukum!😡"
2022-09-07 23:57:36+00:00,Ardathvaldez83,@MataNajwa Menteri Jokowi payah2
2022-09-07 23:57:32+00:00,bangdoelaje,"@Ndai_kore @jokowi gw punya pengalaman nurunin monyet dr atas pohon yg sedang merusak pohon yg berbuah lebat , dengan cara gw tembak boolnya , kalau gak begitu gak bakalan turun , makin kita teriaki itu monyet makin ngeledek"
2022-09-07 23:57:28+00:00,venomanga,@Edi_Gintings @MZAINISPdI1 @Tita83079013 @YaqutCQoumas @mohmahfudmd @jokowi Bolotnya....pret...pret...msh ambyar...aku c muak liat otak bolot mu...blajar 10 thn y...pret..
2022-09-07 23:57:25+00:00,up_pray,@_theguzel @kemkominfo @jokowi WAH TIM CYBER CRIME GIMANA NI..........ANCUR MINA NKRI
2022-09-07 23:57:20+00:00,emikbtb,@jokowi Gila emang pemerintahan skg ini org2 ga bener dimasukin buat apa coba kalo ga buat dikontrol
2022-09-07 23:57:02+00:00,AdolfElvis,"Selalu cacat pikir demi merawat megalomania
----------
""Luhut Puji Jokowi yang Naikkan Harga BBM: Sangat Hebat!"" https://t.co/bVd7ZxaHM2"
2022-09-07 23:56:57+00:00,tri_kembong,@yudi_luhur13 @ZulkifliLubis69 @jokowi Bikin anak apa bikin enak 😂😂😂
2022-09-07 23:56:47+00:00,WadyaIrbar,@Tita83079013 @berlin_hassan @YaqutCQoumas @mohmahfudmd @jokowi Gila... Ibadah aja ampe dilarang. 🤬
