 content;sentiment
mending beli banyak buku punya rak buku beli rak buku buku nya dikit;C
mana cocok tonton sama pacar saran movie romance manis ga too much terus lucu gituu makasiii tco ltnfomz;C
saran kado ultah buat ayah dong benda makan jangan manis tia;C
bantu pilihin dong mending ngecat kamar pasang wallpaper lihat segi budget keriwehan thank u;C
nanya dong kalian kalo ngetweet rant nyambat gitu mutual reply dibales ga trus kalo ngereply kamu bales jujur kaya gapapa aku bingung soal aku ga harap sambat reply sama moots ga enak kalo ga dibales;C
gak garam mau nanya aku liat yt pl prem an kok luar jadi an bawah gitu yaa aman ga yaa tia;C
guys mending co skinker skg karna payday apa tunggu diskon bnyk mana guys;C
kalau kuis terus sempat kali nah kira ambil nilai paling tinggi rata yaa sender mo ngulang cuma gatau salah takut ulang malah nambah kecil;C
ngecrushin org krnh formalitas nggk ap ap kan takut tmn sender mikirnya sender cmn cwo fiksi ama cwo kpop doang pdhl mah iyaa t i t i p a n;C
aku baru mau alih korean skincare kalian mending nyoba set cosrx thank u tco;C
charger kalau dipake jadi rusak ga sih rumah semua hp pake chargeran aku soal mau blg ga sangka pelit ntar serba salah;C
aku kan punya banyak file drakor laptop terus aku hapusin waktu recycle bin aku hapus permanen niat storage laptop aku balik mula sblm ak download drakornya kok ga pengaruh storage aku tetep stuck angka aja cont;C
cw luka merah merah guys mau tanyaa orang kena asam urat tuh kalo kambuh kaki sampe merah gosong gitu bokap ku asam urat tiap kambuh selalu merah gitu kaki skrng tuh merah nya bener merah bahkan betis depan sampe cont;C
kayak gosong gitu udh hari ga kunjung ilang merah padahal biasa hari udah ilang gapapa kan tahap wajar kan;C
mau tanya gais suhu badan normal ngga;C
kalau puasa terus bersihin gigi pake lidah bikin batal gak aku gak sadar bersihin baru mikir batal apa nda gitu;C
guys mau nanya kalo pake pln pascabayar arti pakai bulan september aku lunasin bayar bulan oktober kan erti bener gak;C
cw kulit muka kulit wajah kulit terlupas kelupas aku rutin pake skinker baru nyoba sih pemakain minggu kulit muka ku jd kelupas gin wajar ga si ga gatel efek sih atau krn cocok makasih https tco myazel;C
tw mentioning sexual harassment leceh seksual seriously asking cewek kalau rumah sendiri pake kaos lengan pendek celana paha boxer celana pendek hotpants gak salah kan wajar kan kalau misal pas pake pakai kayak gitu terus cont;C
jadi leceh bukan salah pakai kan apa kalau teras rumah ganti pakai tutup dulu;C
maen game landlord sim gak mau nnya dong pls ak bingung bgt bangun belah mana mau bikin tp bingung lahan nyaa ga tanda tco opix;C
kalian pihak pro kontra kalo anak ngelakuin salah orang tua hukum cara henti uang saku nya;C
guysss sorry mau nanya karna ga nemu jawab battery health aku ngurangin dlm waktu bulan aman ga sih emg cuma ngurangin cuma efek emg jd boros bgt sih jadi batrenyaa;C
guys mau tanyaa jadi laptop microsoft hilang kalo diinstal ulang kang service ngga microsoft;C
guys aku kan barang track order apknya tuh stuck jakarta doang tgl pas chat j n t nya paket aku malah bolak balik gin gimana butuh bgt barang tco;C
sorry gais mau nanya detail activity gdrive tuh gabisa hapus gaenak bgt liat nama aku ngespam gitu sana di liat sama orang gak si plis kalo malu bgt;C
memori hp aku penuh bangettt kdang sampe tinggal mending filenya pindah gdrive apa laptop;C
kalau peluang diizinin nonton konser ga diizinin n diceramahin abcdxyz mending ttp nyoba izin yaudah terima ga usah nonton tp pgn nonton all akomodasitiket pake uang sendiri jgn saranin ga usah izin soal ak dr luar jkt takud knp;C
